,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.65,1.4,1.24,1.55,1.34,1.25,4.85,4.97,6.7,10.7,5.6,6.17,5.98,9.67,2.58,8.64
f_1,2.39,6.05,1.07,1.38,1.08,1.23,4.23,3.75,5.16,5.75,2.38,5.71,6.41,8.64,4.54,8.09
d_1,1.11,1.29,6.17,0.97,1.29,1.37,5.06,4.93,12.35,3.0,6.89,7.4,6.29,7.15,7.86,9.34
c_1,1.23,1.13,1.24,7.07,2.45,1.15,4.95,4.4,1.47,5.91,6.63,4.5,5.98,7.61,5.85,8.65
b_1,1.17,1.48,1.18,1.36,7.68,2.36,4.84,4.7,5.0,5.43,6.39,2.49,3.87,10.31,5.38,8.5
a_1,1.53,1.33,1.3,1.08,1.11,10.7,4.73,4.53,6.1,6.36,6.8,6.22,3.12,11.11,8.03,9.42
h_1,1.3,2.38,1.58,1.6,1.36,1.44,15.32,7.35,6.88,6.74,6.57,8.98,8.17,7.45,8.32,15.14
g_1,1.4,1.43,2.44,1.83,1.56,1.22,4.3,17.74,6.71,5.98,10.99,7.36,6.94,12.91,5.47,8.07
c_0,1.26,1.83,2.21,1.08,1.08,1.61,5.98,5.72,15.48,7.07,8.2,18.2,9.3,13.36,10.18,14.46
d_0,1.53,1.81,0.86,3.01,1.52,1.05,5.81,6.39,6.23,15.66,7.35,8.08,8.98,13.59,8.7,10.39
f_0,1.23,0.91,2.04,1.95,1.32,1.51,6.11,5.88,8.54,9.35,19.37,8.48,8.05,12.02,20.41,13.42
b_0,1.29,1.86,1.84,1.98,0.64,1.26,5.97,6.18,7.6,8.16,9.7,19.04,16.54,12.59,9.35,14.23
a_0,1.37,2.16,1.91,1.63,1.34,0.61,6.67,5.81,7.28,7.79,7.84,7.75,23.74,12.24,8.08,13.17
h_0,1.49,2.56,1.91,1.31,1.32,1.59,3.39,8.37,7.27,6.56,7.15,6.95,6.81,7.21,6.52,14.88
e_0,0.8,1.95,1.73,1.71,1.91,1.42,5.84,5.64,8.12,7.98,8.75,10.16,10.18,12.88,25.56,11.12
g_0,1.47,1.3,2.84,1.64,1.43,1.2,5.35,3.51,7.07,6.58,12.23,8.96,8.11,12.25,9.05,8.5
