,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.4,0.62,0.58,0.64,0.6,0.52,0.26,0.24,0.36,0.27,0.25,0.28,0.18,0.23,0.26,0.24
e_1,0.42,0.4,0.6,0.75,0.62,0.55,0.31,0.27,0.34,0.31,0.27,0.33,0.23,0.28,0.33,0.24
d_1,0.7,0.63,0.39,0.56,0.54,0.57,0.31,0.3,0.23,0.31,0.29,0.25,0.22,0.27,0.27,0.17
c_1,0.57,0.49,0.72,0.37,0.71,0.53,0.31,0.27,0.32,0.17,0.24,0.26,0.22,0.24,0.25,0.22
b_1,0.64,0.59,0.66,0.38,0.37,0.77,0.36,0.32,0.31,0.26,0.31,0.26,0.24,0.23,0.25,0.25
a_1,0.69,0.62,0.56,0.62,0.36,0.31,0.36,0.31,0.35,0.35,0.38,0.3,0.27,0.37,0.28,0.25
h_1,0.61,0.55,0.6,0.61,0.53,0.47,0.24,0.26,0.32,0.25,0.25,0.24,0.25,0.25,0.25,0.23
c_0,0.66,0.61,0.41,0.79,0.57,0.5,0.31,0.22,0.29,0.33,0.29,0.25,0.22,0.29,0.24,0.2
g_1,0.57,0.56,0.6,0.56,0.57,0.55,0.26,0.24,0.21,0.26,0.25,0.27,0.19,0.25,0.22,0.22
d_0,0.51,0.4,0.64,0.77,0.62,0.48,0.35,0.26,0.35,0.23,0.26,0.27,0.23,0.26,0.27,0.25
b_0,0.62,0.57,0.47,0.74,0.66,0.49,0.3,0.18,0.3,0.26,0.21,0.24,0.24,0.28,0.24,0.19
f_0,0.66,0.54,0.52,0.55,0.59,0.5,0.32,0.27,0.22,0.29,0.26,0.2,0.23,0.28,0.27,0.16
h_0,0.59,0.56,0.56,0.58,0.57,0.5,0.33,0.25,0.32,0.25,0.25,0.24,0.25,0.23,0.24,0.22
a_0,0.67,0.53,0.5,0.59,0.66,0.61,0.28,0.23,0.31,0.25,0.18,0.21,0.24,0.19,0.24,0.2
e_0,0.69,0.62,0.53,0.56,0.56,0.55,0.31,0.24,0.3,0.25,0.26,0.16,0.2,0.21,0.18,0.17
g_0,0.57,0.53,0.6,0.57,0.55,0.53,0.26,0.27,0.33,0.26,0.28,0.29,0.19,0.26,0.26,0.24
