,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.1,0.88,0.86,0.76,0.55,0.63,0.49,0.41,0.44,0.39,0.38,0.34,0.33,0.33
f_1,1.28,1.0,0.98,0.84,0.92,0.78,0.42,0.42,0.39,0.42,0.29,0.34,0.27,0.28,0.32,0.26
c_1,0.9,1.03,1.0,1.13,1.31,0.75,0.48,0.33,0.42,0.35,0.4,0.35,0.42,0.33,0.38,0.3
d_1,1.13,1.2,0.89,1.0,0.92,0.66,0.51,0.54,0.4,0.58,0.4,0.47,0.39,0.33,0.3,0.3
b_1,1.15,1.08,0.77,1.08,1.0,1.23,0.59,0.47,0.56,0.45,0.51,0.44,0.4,0.36,0.3,0.31
a_1,1.32,1.29,1.33,1.52,0.81,1.0,0.68,0.64,0.59,0.61,0.62,0.71,0.48,0.43,0.48,0.61
h_1,1.87,2.42,2.09,1.89,1.67,1.52,1.0,0.85,1.02,0.74,0.7,0.69,0.59,0.63,0.7,0.56
d_0,1.61,2.32,3.12,1.78,2.19,1.46,1.15,1.0,0.95,0.78,0.8,0.74,0.82,0.72,0.7,0.69
g_1,2.14,2.42,2.32,2.53,1.84,1.6,1.0,1.03,1.0,0.88,1.04,0.8,0.69,0.84,0.66,0.6
c_0,2.51,2.38,2.75,1.71,2.07,1.64,1.33,1.36,1.14,1.0,0.97,1.24,0.8,0.9,0.77,0.71
f_0,2.35,3.22,2.52,2.44,2.21,1.63,1.37,1.15,0.93,0.99,1.0,0.99,0.94,0.82,0.67,1.21
b_0,2.71,2.91,2.71,2.08,2.4,1.45,1.43,1.33,1.26,0.78,0.98,1.0,0.89,1.17,0.76,0.79
h_0,2.74,3.59,2.32,2.63,2.49,2.05,1.69,1.23,1.43,1.25,1.01,1.1,1.0,0.95,1.09,0.79
a_0,3.12,3.39,3.17,2.93,2.87,2.18,1.57,1.35,1.14,1.17,1.17,0.88,1.03,1.0,0.99,0.89
g_0,3.15,3.06,2.69,3.44,3.06,2.19,1.48,1.43,1.49,1.33,1.51,1.24,0.9,1.04,1.0,0.98
e_0,3.07,3.73,3.32,3.23,3.2,1.81,1.73,1.39,1.73,1.46,0.83,1.24,1.2,1.08,0.99,1.01
