,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.18,1.75,2.05,1.96,1.53,0.59,0.67,0.77,0.57,0.55,0.79,0.38,0.54,0.48,0.5
e_1,1.46,1.06,2.08,2.29,2.08,1.7,0.79,0.85,0.76,0.58,0.61,0.76,0.5,0.48,0.54,0.85
d_1,2.3,2.32,1.06,1.98,2.2,1.74,0.73,1.06,0.52,0.76,0.56,0.57,0.42,0.53,0.34,0.54
c_1,2.29,1.98,2.83,1.06,2.34,1.69,0.77,0.4,0.89,0.73,0.58,0.61,0.53,0.56,0.41,0.46
b_1,2.68,2.54,2.44,1.54,1.06,3.0,1.03,0.71,0.88,0.85,1.0,0.67,0.52,0.58,0.6,0.55
a_1,4.45,3.46,3.59,3.66,1.7,1.07,1.81,1.01,1.69,0.92,1.32,0.95,0.94,1.22,0.73,0.83
h_1,6.44,5.6,5.7,5.86,4.67,3.43,1.32,1.55,2.27,1.73,1.62,1.49,1.64,1.26,1.23,1.32
d_0,6.61,3.84,8.36,8.7,6.44,5.52,2.97,1.49,2.48,1.86,2.14,1.76,1.49,1.7,1.57,1.77
g_1,7.04,6.5,6.86,6.56,6.4,4.93,2.01,2.22,1.34,2.08,2.01,2.09,1.33,1.8,1.79,1.55
c_0,7.18,7.33,4.33,10.38,6.77,6.64,3.13,2.49,2.17,1.48,2.4,1.99,1.67,1.92,1.56,1.92
b_0,7.33,7.05,6.55,9.87,9.23,5.47,2.75,2.3,2.72,1.34,1.53,1.8,1.73,2.21,1.39,1.68
f_0,11.88,6.3,7.61,7.26,7.68,7.34,3.18,2.23,1.8,2.01,2.41,1.51,1.88,2.21,1.12,2.17
h_0,10.07,8.51,9.31,9.36,10.45,6.77,4.13,3.11,3.04,2.44,2.41,2.4,2.79,2.27,2.29,1.77
a_0,9.72,10.7,9.03,10.24,13.1,9.98,4.68,3.67,3.2,2.61,1.81,2.94,2.25,1.66,2.4,2.57
g_0,10.73,9.37,11.66,10.86,10.18,9.81,3.3,3.13,4.65,3.01,3.07,3.62,1.84,2.23,2.69,2.36
e_0,14.23,11.56,9.58,12.75,10.35,10.18,4.13,2.9,4.14,3.14,3.16,1.67,2.68,3.11,2.07,1.61
