,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.76,1.23,0.76,0.78,0.68,0.74,0.94,0.87,1.0,0.89,0.68,0.97,0.93,0.7,1.02,0.89
e_1,0.87,1.78,1.03,0.7,0.79,0.82,0.87,0.89,1.54,0.88,1.03,0.93,0.95,0.73,0.98,0.96
c_1,0.79,0.73,1.87,0.8,1.42,0.65,0.96,0.94,0.81,0.62,0.96,0.71,0.99,1.0,0.92,0.95
d_1,0.86,0.76,0.63,2.02,0.71,0.72,1.03,0.95,0.74,1.78,1.0,1.2,1.03,1.09,1.01,1.18
b_1,0.81,0.79,0.82,0.76,2.11,1.49,1.03,0.86,0.82,0.81,0.93,0.68,0.92,1.01,0.81,0.98
a_1,0.87,0.88,0.94,0.86,0.65,3.0,0.99,1.07,1.02,0.84,1.11,1.05,0.99,1.08,0.75,0.85
h_1,1.1,0.82,0.82,0.96,0.78,0.7,1.71,1.27,0.95,0.92,1.02,1.05,0.91,0.99,0.97,1.25
g_1,0.79,0.8,0.82,1.33,0.76,0.75,1.02,2.05,0.83,1.12,1.5,1.14,1.02,1.23,1.04,0.88
d_0,0.88,0.8,1.42,0.65,0.96,0.79,1.0,1.08,1.29,0.73,1.11,0.98,1.09,0.93,1.06,0.92
c_0,1.0,0.88,0.78,1.0,0.67,0.76,0.96,1.09,1.01,1.61,0.96,1.95,1.23,1.31,1.34,1.27
f_0,0.76,0.74,0.97,1.04,0.9,0.86,1.09,1.01,0.98,0.98,1.7,1.18,1.13,2.06,1.01,1.13
b_0,0.99,0.88,0.91,1.09,0.56,0.63,0.98,1.19,1.08,1.1,1.0,1.72,1.29,1.07,2.05,1.06
h_0,1.14,0.81,0.88,0.96,0.81,0.69,0.91,1.4,1.01,0.97,1.02,1.16,1.0,1.08,1.18,1.27
e_0,0.95,0.73,0.81,1.03,0.91,0.84,1.08,1.16,0.9,1.12,1.27,1.34,1.26,2.01,1.04,1.06
a_0,0.99,0.75,0.93,1.08,0.79,0.59,1.04,1.26,1.03,1.11,1.1,1.16,1.28,1.13,1.87,1.11
g_0,0.77,0.76,0.85,1.23,0.89,0.73,1.01,0.93,0.99,1.11,1.48,1.24,1.14,1.38,1.23,0.83
