,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.31,0.95,0.81,0.66,0.63,0.61,1.63,1.24,3.0,1.12,2.25,1.73,1.68,2.39,1.51,2.28
f_1,0.79,2.33,1.34,0.71,0.73,0.51,1.56,1.3,1.63,1.94,1.59,1.03,1.66,2.05,0.82,1.87
e_1,0.78,0.91,2.43,1.06,0.76,0.57,1.41,1.24,1.64,3.08,1.81,1.4,1.45,2.01,0.93,1.75
c_1,0.86,0.79,0.69,2.49,1.31,0.75,1.48,1.42,0.79,1.64,1.01,1.56,1.27,1.96,1.38,1.86
b_1,0.85,0.8,0.78,0.85,2.68,1.32,1.36,1.34,1.5,1.65,0.99,1.44,1.11,1.87,1.34,1.82
a_1,0.84,0.88,0.76,0.92,0.87,3.1,1.82,1.5,1.54,1.83,1.5,1.83,0.84,2.12,1.71,2.1
h_1,1.08,1.28,0.84,0.8,0.63,0.6,3.32,1.9,1.9,1.76,2.07,1.76,1.54,1.83,1.76,2.64
g_1,1.42,0.83,0.77,0.75,0.7,0.64,1.64,3.63,1.69,1.59,1.96,2.8,1.79,2.59,2.07,1.66
c_0,1.13,1.0,1.04,0.7,0.68,0.64,1.6,1.68,3.08,1.83,3.49,1.97,2.11,2.11,1.78,2.06
d_0,0.7,0.86,0.93,1.7,0.87,0.73,1.52,1.47,1.08,2.92,1.51,1.56,1.58,2.2,1.34,1.68
b_0,1.07,1.09,0.85,1.11,0.58,0.51,1.75,1.6,1.89,1.93,3.16,1.7,3.07,2.58,1.57,2.11
f_0,1.18,0.69,0.7,0.96,0.91,0.7,1.9,1.8,2.17,1.75,1.91,3.43,1.77,2.32,3.63,2.6
a_0,1.06,1.02,0.91,1.04,0.82,0.53,1.77,1.56,1.8,1.75,2.01,1.7,3.3,2.83,1.47,2.1
h_0,1.07,1.3,0.95,0.88,0.75,0.61,1.23,2.03,1.76,1.85,1.75,1.66,1.63,1.64,1.4,2.42
e_0,1.1,0.94,0.65,1.0,1.05,0.74,1.81,1.66,1.99,1.7,1.79,1.76,1.74,2.74,3.71,2.11
g_0,1.59,0.85,0.79,0.91,0.73,0.55,1.76,1.22,2.15,1.65,1.97,2.42,1.44,2.35,1.84,1.6
