,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.09,3.31,3.53,3.17,2.83,2.52,0.77,0.55,0.96,0.53,0.58,0.57,0.4,0.59,0.28,0.51
f_1,2.82,1.1,2.94,3.29,3.03,2.99,0.61,0.87,0.67,0.57,0.56,0.82,0.31,0.53,0.49,0.54
e_1,3.56,1.82,1.1,3.34,3.07,3.2,0.94,1.01,0.7,0.7,0.72,0.77,0.46,0.67,0.49,0.88
c_1,4.99,3.66,3.13,1.11,3.46,3.33,0.94,1.06,0.43,1.02,0.71,0.77,0.55,0.62,0.52,0.7
b_1,4.11,4.75,3.69,2.22,1.12,3.97,1.23,1.18,0.87,1.04,1.46,0.84,0.66,0.89,0.63,0.83
a_1,5.1,7.23,5.48,6.52,2.84,1.13,2.0,1.98,1.41,1.31,1.4,1.07,1.06,2.42,0.92,1.19
h_1,10.81,12.44,11.33,11.59,13.04,9.91,1.66,3.44,2.32,2.01,2.23,2.21,2.76,2.14,1.94,2.12
g_1,12.96,13.89,13.52,12.95,15.46,12.54,2.74,1.66,3.12,2.82,3.0,2.76,1.51,2.57,2.39,2.55
d_0,19.23,13.89,8.2,16.48,14.48,13.78,4.5,4.29,1.99,3.14,3.27,2.7,2.35,2.51,2.17,3.05
c_0,7.93,16.31,14.88,30.58,15.72,14.08,4.6,4.19,4.48,1.99,3.42,2.93,2.42,2.6,1.98,2.97
b_0,12.34,16.38,14.7,23.35,21.16,13.4,5.02,4.19,3.36,1.73,2.0,3.14,2.04,2.62,2.17,2.51
f_0,15.96,26.45,18.72,17.05,17.86,18.68,5.63,3.38,4.08,3.81,4.07,1.98,2.68,3.69,1.67,4.02
h_0,20.53,22.04,22.66,21.19,23.92,19.43,9.0,6.39,5.01,4.09,4.13,4.58,3.82,3.87,3.23,3.68
a_0,21.88,26.26,26.35,24.11,25.24,29.0,7.14,7.96,5.53,4.35,3.12,4.05,3.24,2.24,3.23,3.53
g_0,25.2,28.12,28.69,28.52,25.47,22.86,6.52,12.14,6.02,5.89,5.75,5.67,3.12,5.21,4.59,5.7
e_0,23.88,41.05,37.44,28.8,29.27,22.86,7.33,5.73,5.16,4.35,6.54,2.62,4.28,5.14,3.46,2.46
