,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.72,1.13,0.56,0.68,0.56,0.47,0.82,0.8,0.72,0.78,0.91,0.36,0.85,0.83,0.74,0.75
e_1,0.65,2.77,0.59,0.64,0.62,0.53,1.07,0.79,1.67,0.95,1.01,1.11,1.13,0.93,0.47,0.98
d_1,0.59,0.56,3.05,0.5,0.6,0.62,0.81,0.99,0.37,1.75,1.12,1.06,1.08,1.07,1.16,1.14
c_1,0.71,0.63,0.52,3.13,1.16,0.41,0.68,0.77,0.78,0.23,0.55,0.89,0.9,0.89,0.86,0.78
b_1,0.57,0.5,0.61,0.61,3.65,1.39,1.14,0.77,1.0,0.85,0.35,0.91,0.7,0.69,0.84,0.9
a_1,0.73,0.55,0.59,0.73,0.44,5.2,0.96,0.82,0.91,0.87,0.93,0.89,0.81,0.42,1.06,0.85
h_1,1.09,0.64,0.82,0.56,0.65,0.67,2.88,1.66,1.19,1.1,1.17,1.07,0.68,0.93,1.11,1.53
g_1,0.68,0.6,1.26,0.73,0.61,0.65,0.95,3.4,0.83,1.12,1.29,1.64,1.16,1.03,1.13,0.75
d_0,0.79,0.67,0.34,1.58,0.8,0.67,1.02,1.08,2.25,0.88,1.13,1.06,1.24,1.17,1.4,1.36
c_0,0.76,0.6,0.96,0.47,0.55,0.56,1.2,1.44,1.14,2.56,2.69,1.24,1.68,1.49,1.31,1.46
b_0,0.86,0.75,0.92,0.75,0.26,0.49,1.15,1.32,1.17,1.19,2.76,1.18,1.38,2.55,1.29,1.21
f_0,0.46,0.56,1.04,0.87,0.6,0.76,1.08,1.08,1.43,1.16,1.32,2.97,1.41,1.36,2.43,1.51
h_0,1.05,0.72,0.95,0.81,0.64,0.6,0.59,1.43,1.2,1.1,1.24,0.96,0.66,1.37,1.06,1.57
a_0,0.8,0.74,0.93,0.78,0.68,0.37,1.18,1.32,1.13,0.95,1.32,1.41,1.54,3.23,1.63,1.5
e_0,0.92,0.39,0.76,0.86,0.68,0.74,1.02,1.18,1.24,1.45,1.43,1.18,1.63,1.52,3.85,1.51
g_0,0.64,0.65,1.39,0.83,0.66,0.73,0.91,0.74,1.08,1.16,1.15,2.22,1.13,1.36,1.42,0.72
