,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.0,1.06,0.88,1.04,0.82,0.45,0.37,0.7,0.35,,0.43,0.34,0.33,0.33,0.24
f_1,1.0,1.0,1.42,0.82,0.79,0.76,0.45,0.45,0.46,0.48,0.41,,0.29,0.31,0.32,0.34
e_1,0.95,0.7,1.0,0.82,0.98,0.82,0.56,0.5,0.44,0.41,0.57,0.37,0.37,0.35,,0.33
c_1,1.13,1.22,1.21,1.0,1.2,0.6,0.5,0.47,,0.38,0.37,0.42,0.37,0.39,0.32,0.42
b_1,0.96,1.26,1.02,0.83,1.0,1.7,0.58,0.41,0.63,,0.46,0.33,0.44,0.47,,0.28
a_1,1.22,1.32,1.22,1.67,0.59,1.0,0.73,0.52,0.55,0.71,0.61,0.46,0.61,,0.42,0.34
h_1,2.24,2.23,1.78,2.01,1.73,1.36,1.0,1.27,0.92,0.83,0.66,0.73,,0.59,0.66,0.79
g_1,2.72,2.23,2.01,2.11,2.44,1.92,0.79,1.0,0.85,0.9,0.96,0.88,0.88,0.75,0.58,
c_0,1.43,2.15,2.27,,1.6,1.81,1.09,1.18,1.0,1.23,0.89,1.08,0.82,0.89,0.74,0.68
b_0,2.85,2.1,2.46,2.64,,1.42,1.21,1.11,0.82,1.0,1.2,1.0,0.67,1.2,0.77,0.69
d_0,,2.45,1.76,2.73,2.19,1.64,1.52,1.05,1.12,0.83,1.0,1.08,0.92,0.95,0.89,0.68
f_0,2.34,,2.72,2.39,3.01,2.15,1.36,1.13,0.92,1.0,0.92,1.0,0.94,0.65,,0.62
h_0,2.93,3.48,2.7,2.72,2.3,1.65,,1.13,1.22,1.49,1.08,1.07,,0.83,0.99,0.99
a_0,3.01,3.26,2.84,2.56,2.11,,1.7,1.34,1.12,0.83,1.05,1.54,1.21,1.0,,1.37
e_0,3.01,3.09,,3.09,,2.39,1.52,1.72,1.36,1.29,1.13,,1.01,,1.0,0.95
g_0,4.11,2.96,3.02,2.4,3.52,2.92,1.27,,1.46,1.46,1.47,1.62,1.01,0.73,1.05,
