,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.94,1.0,0.87,0.82,0.87,1.03,0.88,0.89,1.01,0.93,0.87,0.68,0.96,1.17
e_1,0.75,1.0,1.05,1.16,0.96,1.14,1.11,1.16,0.92,1.46,1.02,1.26,1.0,1.26,1.15,1.09
d_1,1.07,0.96,1.0,0.95,1.0,0.99,1.01,0.76,1.39,0.86,1.04,0.96,0.96,1.02,0.85,0.82
c_1,1.01,0.86,1.05,1.0,1.49,0.94,0.94,1.06,0.84,0.71,0.88,0.89,0.94,1.0,0.92,0.94
b_1,1.15,1.04,1.0,0.67,1.0,1.37,1.01,1.05,0.98,1.06,0.94,1.0,1.22,1.01,0.9,0.98
a_1,1.21,0.87,1.02,1.07,0.72,1.0,1.13,1.06,1.14,1.05,1.18,0.99,1.18,1.15,1.31,1.05
h_1,1.16,0.92,0.99,1.05,0.96,0.85,1.0,1.1,0.93,0.88,0.91,1.05,0.99,0.81,1.01,1.3
g_1,0.91,0.89,1.27,0.96,1.02,1.0,0.93,1.0,0.82,0.89,0.97,1.26,0.84,0.94,0.97,0.97
c_0,1.08,1.17,0.72,1.16,0.88,0.85,1.07,1.21,1.0,1.33,1.52,1.02,1.04,1.09,1.16,1.03
d_0,1.05,0.7,1.08,1.44,1.0,0.92,1.13,1.13,0.73,1.0,0.93,0.86,1.01,1.17,1.1,1.08
b_0,1.0,0.91,0.93,1.23,1.05,0.9,1.13,1.06,0.68,1.08,1.0,0.98,1.16,1.04,1.46,1.03
f_0,1.09,0.77,1.05,1.2,1.01,1.01,0.98,0.76,0.98,1.13,0.99,1.0,1.12,1.89,1.04,0.82
h_0,1.13,1.03,1.0,1.12,0.82,0.88,0.99,1.18,0.97,0.97,0.88,0.89,1.0,0.82,1.01,1.03
e_0,1.48,0.81,0.94,1.05,1.04,0.89,1.27,1.07,0.91,0.89,1.0,0.55,1.22,1.0,1.01,0.94
a_0,1.08,0.87,1.05,1.13,1.12,0.82,1.01,1.07,0.93,0.95,0.7,0.92,1.06,1.0,1.0,1.11
g_0,0.93,0.9,1.18,1.09,1.0,0.97,0.75,0.99,0.96,0.9,1.06,1.17,0.99,1.04,0.87,1.0
