,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,9.78,0.7,0.6,0.99,0.74,0.62,0.92,0.92,2.18,0.87,0.98,0.91,0.92,0.95,0.78,0.99
f_1,1.84,10.29,0.7,0.63,0.56,0.59,0.9,0.84,0.91,0.74,0.66,0.95,0.9,0.93,0.6,0.78
d_1,0.62,0.85,13.35,0.5,0.63,0.74,1.06,0.95,0.57,2.59,0.96,1.27,1.01,1.11,1.13,0.98
c_1,0.56,0.67,0.74,13.1,1.67,0.71,0.95,0.85,0.84,0.58,0.79,0.56,0.94,0.79,0.85,0.93
b_1,0.6,0.65,0.6,0.75,13.24,1.68,0.84,0.89,0.84,0.84,0.98,0.76,1.02,0.75,0.97,0.86
a_1,0.62,0.73,0.75,0.71,0.68,18.15,0.99,0.96,1.14,0.98,1.09,1.17,1.31,0.86,0.89,1.01
h_1,0.71,1.12,1.01,0.59,0.7,0.71,3.09,1.46,0.77,1.06,1.13,1.05,0.77,1.11,1.24,1.44
g_1,0.59,0.68,1.73,0.9,0.65,0.69,0.82,3.83,0.71,1.18,2.08,1.04,1.07,1.12,1.5,0.99
d_0,0.71,0.72,0.58,2.66,0.86,0.64,0.87,0.95,2.15,0.63,1.02,0.96,0.89,0.97,1.07,1.2
c_0,0.77,0.94,0.84,0.57,0.5,0.98,1.22,1.17,0.98,2.1,1.19,4.08,1.14,1.73,1.59,1.49
f_0,0.58,0.61,0.99,0.91,0.73,0.76,1.16,1.38,1.01,1.05,2.59,1.37,1.22,1.1,3.6,1.14
b_0,0.81,0.93,0.91,0.9,0.51,0.62,1.08,1.11,0.93,0.97,1.42,2.38,1.14,3.04,1.28,1.54
h_0,0.73,1.36,0.88,0.81,0.73,0.66,0.82,1.5,0.74,0.96,1.17,1.01,0.78,0.91,1.23,1.62
a_0,0.75,1.08,0.94,0.71,0.9,0.44,1.27,1.01,0.9,1.0,1.42,1.04,1.6,2.84,1.28,1.5
e_0,0.57,0.78,0.98,0.93,0.85,0.85,1.09,1.25,0.8,1.08,1.15,1.1,1.2,1.14,3.06,1.36
g_0,0.64,0.64,1.69,0.74,0.69,0.81,1.31,0.99,0.79,1.12,2.01,0.98,1.18,0.95,1.48,0.87
