,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.97,1.03,0.89,0.85,0.85,0.9,0.85,0.93,0.98,0.75,0.8,1.02,0.83,1.25
e_1,0.76,1.0,1.04,1.23,0.99,1.0,1.04,1.13,0.92,1.42,1.08,1.12,1.12,0.98,1.12,1.02
d_1,1.03,0.97,1.0,0.87,1.09,0.89,0.99,0.94,1.27,0.97,1.0,1.1,1.05,1.06,1.07,0.86
c_1,0.97,0.81,1.15,1.0,1.4,0.82,1.2,1.06,0.88,0.72,0.89,0.99,0.94,0.92,1.02,0.98
b_1,1.13,1.01,0.91,0.72,1.0,1.72,1.02,1.01,1.05,0.98,1.06,0.95,0.93,0.89,1.04,0.94
a_1,1.19,1.0,1.13,1.22,0.58,1.0,0.98,0.99,1.11,1.1,1.12,0.96,1.37,1.24,1.01,0.84
h_1,1.19,0.94,1.02,0.84,0.99,0.94,1.0,1.11,0.96,1.11,0.85,0.91,1.04,0.87,0.88,1.21
g_1,1.06,0.91,1.09,0.93,1.04,0.97,0.88,1.0,0.97,0.9,1.05,1.26,0.93,1.05,0.82,1.0
c_0,1.21,1.05,0.76,1.09,0.94,0.9,1.0,0.98,1.0,1.17,1.28,0.97,1.05,1.1,0.95,1.04
d_0,1.03,0.71,0.94,1.38,1.0,0.94,0.92,1.17,0.81,1.0,1.07,1.01,1.21,1.02,1.01,1.16
b_0,1.09,0.89,0.98,1.24,0.98,0.86,1.15,0.96,0.77,0.89,1.0,0.99,1.06,1.4,1.06,1.12
f_0,1.31,0.86,0.92,1.02,1.07,0.97,1.16,0.77,1.07,1.01,1.03,1.0,1.16,0.89,1.4,0.86
h_0,1.2,0.89,0.97,1.15,1.03,0.76,0.95,1.08,1.01,0.82,0.9,0.84,0.99,0.95,1.07,1.25
a_0,0.94,0.99,0.96,1.07,1.15,1.02,1.18,0.95,0.93,0.93,0.7,1.08,1.0,1.0,1.01,1.18
e_0,1.28,0.96,0.9,1.01,0.87,0.95,1.12,1.16,1.09,0.95,0.95,0.71,0.94,1.01,1.0,0.96
g_0,0.83,0.95,1.13,1.06,1.04,1.26,0.85,1.03,0.98,0.86,0.92,1.18,0.75,0.79,1.05,1.0
