,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12771.08,1210.07,1413.51,2233.33,2923.21,11313.4,1678223.75,1771050.92,9072140.84,4563252.68,6130621.41,11485192.8,53314921.18,38728974.14,17939782.26,159665123.4
d_1,1262.06,15170.19,1487.36,1743.76,2612.6,9932.54,2133695.13,2185749.01,1226120.96,9035914.29,7385219.4,10820977.42,44339577.36,42207731.72,73755928.8,146791251.92
f_1,2040.45,1263.14,15170.61,2199.26,2647.3,11374.53,1408105.76,1763054.96,4091866.9,4848231.98,5974858.59,3514926.67,57461232.86,54369228.05,62696459.54,148494412.35
c_1,1381.77,1389.34,1771.66,22499.9,4749.94,7816.05,1643382.09,2052538.96,4577483.64,912810.04,4581737.18,7141325.66,58059939.48,54780312.96,60333060.6,123469449.82
b_1,1244.84,1584.51,1487.97,1845.35,31379.53,23645.71,1907686.22,2358060.25,4675982.64,4959962.85,1065939.12,8803690.84,55021382.89,29278170.66,61267249.93,123122512.49
a_1,1169.28,1783.05,1076.12,2070.15,2304.12,202019.46,1604456.14,2248129.67,4555531.11,5342991.96,6944741.94,14564566.05,61723990.99,9046142.58,64776723.4,191657706.12
h_1,2075.68,1986.82,3696.17,3547.08,3210.9,24767.37,12285315.81,4382916.33,7785715.98,8244452.75,11473804.12,20155480.12,38111785.45,71697975.21,115857940.57,300992639.15
g_1,1842.22,4113.71,2283.76,3665.05,4035.52,14545.51,3117111.96,15727383.85,5992501.69,7815290.52,10411542.09,29776868.68,93237050.06,76639486.78,134305383.6,61298762.02
d_0,2034.96,819.96,2964.06,7090.63,4011.64,18998.09,2821608.44,3953900.71,21962121.35,7215885.64,12877954.13,20755951.52,118849788.09,79169901.38,157802676.22,225147271.74
c_0,2809.38,3041.7,3007.74,1272.39,3659.0,19459.34,2873547.56,4067976.24,6784658.36,21866902.07,23369925.92,22108487.99,98868133.25,90629348.19,158747602.42,234305647.24
b_0,2031.56,2929.74,3252.79,4299.6,1673.17,19747.14,2742936.87,4216417.1,7834315.96,8744344.15,33637590.7,23442015.84,86286795.15,150180487.09,129565973.97,242855484.13
f_0,2158.19,3658.28,1110.28,3396.43,3620.76,25933.05,3644242.62,3373257.95,8832736.87,8113588.42,11343476.94,63113119.56,127992079.48,90719887.0,315967700.72,291437317.27
h_0,1487.43,3607.0,3671.41,3596.88,4661.1,13892.59,1284278.78,4291833.28,7824547.48,7165900.29,9521034.01,19232975.59,40216962.63,73199310.32,134197176.69,357788423.92
a_0,2029.93,2046.72,2461.56,4858.41,5851.39,6597.79,3326846.2,4525112.58,8107606.05,6496990.35,17100137.91,27561026.37,101203039.59,301019159.93,155410896.67,276363611.83
e_0,586.94,3275.11,3394.2,4230.85,4143.43,14716.67,3845265.93,3915573.67,9711993.03,9143664.68,13936745.07,19861535.03,137213410.85,111025106.66,547344307.72,323256263.75
g_0,1945.89,3893.5,2482.22,4183.34,3663.11,19220.3,2832924.16,,7031755.99,9532663.27,12699428.73,31878155.3,107611175.1,87638107.4,95770727.73,124614786.91
