,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.95,0.99,0.89,0.9,0.84,0.98,1.03,0.96,1.0,1.1,0.8,0.9,0.8,1.07
e_1,0.76,1.0,0.99,1.02,1.03,0.93,0.99,1.09,1.43,1.02,1.17,1.14,1.09,1.04,1.21,1.01
d_1,1.05,1.01,1.0,0.98,0.92,0.9,1.03,0.9,1.22,1.31,1.0,0.89,1.06,0.92,1.12,0.78
c_1,1.01,0.98,1.02,1.0,1.43,0.93,0.96,1.08,0.67,0.64,1.06,0.82,0.96,0.99,0.94,1.02
b_1,1.12,0.97,1.09,0.7,1.0,1.4,1.14,1.03,1.1,0.9,0.88,1.03,1.14,0.75,0.99,0.89
a_1,1.12,1.08,1.12,1.08,0.71,1.0,1.08,0.84,0.75,1.17,1.08,1.13,1.2,1.05,1.07,1.04
h_1,1.16,1.0,1.0,1.07,0.83,0.97,1.0,1.14,1.02,0.83,0.86,0.97,0.96,1.04,0.92,1.1
g_1,1.06,0.89,1.09,0.93,0.95,1.12,0.88,1.0,0.89,0.99,1.13,0.96,0.8,1.31,1.07,0.84
d_0,1.06,0.71,0.8,1.53,0.86,1.34,1.01,1.16,1.0,0.98,1.05,0.94,0.88,1.12,0.76,1.34
c_0,1.08,0.91,0.78,1.73,1.19,0.77,1.23,1.04,0.97,1.0,0.89,1.59,1.04,1.34,1.08,1.12
f_0,1.0,0.87,1.06,1.04,1.12,0.96,1.2,0.88,0.92,1.12,1.0,0.89,1.24,0.87,1.39,1.11
b_0,0.92,0.84,1.05,1.31,1.03,0.89,1.02,0.98,0.98,0.65,1.11,1.0,1.05,1.67,0.98,1.08
h_0,1.31,0.89,0.93,1.08,0.86,0.87,1.02,1.26,1.11,0.94,0.8,0.97,1.0,0.93,0.86,1.39
a_0,1.01,0.91,1.06,1.03,1.52,,0.96,0.76,0.88,0.76,1.12,0.64,1.01,1.0,1.14,1.28
e_0,1.18,0.92,0.86,1.0,1.0,1.07,1.12,0.94,1.29,0.95,0.75,1.08,1.29,0.89,1.0,0.85
g_0,0.9,0.95,1.22,1.0,1.07,0.98,0.93,1.21,0.8,0.91,0.92,0.97,0.73,0.84,1.2,
