,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.64,0.69,0.58,0.74,0.57,0.51,0.9,0.85,1.7,0.95,0.96,1.04,0.86,0.92,1.15,0.51
f_1,1.11,2.72,0.56,0.54,0.52,0.58,0.8,0.75,0.79,0.83,1.07,0.28,0.87,0.86,0.83,0.83
d_1,0.6,0.7,3.13,0.52,0.49,0.67,0.95,0.92,0.36,1.72,1.01,0.97,1.12,1.0,0.95,0.89
c_1,0.56,0.52,0.58,3.13,1.23,0.47,0.93,0.85,1.02,0.36,0.6,1.08,0.96,0.88,0.83,1.04
b_1,0.54,0.69,0.66,0.53,3.63,1.14,0.8,0.9,0.67,0.9,0.33,0.92,0.94,0.8,0.67,0.99
a_1,0.54,0.58,0.72,0.65,0.59,5.26,0.94,0.86,0.82,0.91,0.89,1.16,1.04,0.27,0.92,0.95
h_1,0.61,1.11,0.75,0.77,0.69,0.53,3.03,1.5,1.15,1.02,1.33,0.98,0.68,1.33,1.44,1.05
g_1,0.62,0.65,1.19,0.75,0.64,0.71,1.18,3.6,0.87,0.71,1.18,1.79,1.16,1.22,0.85,1.21
d_0,0.6,0.76,0.35,1.59,0.81,0.61,1.1,0.87,2.21,0.92,1.09,1.04,1.35,1.27,1.24,1.19
c_0,0.79,0.88,0.78,0.49,0.55,0.7,1.1,1.1,1.26,2.48,2.49,0.98,1.37,1.19,1.34,1.46
b_0,0.79,0.8,0.92,0.92,0.28,0.4,1.31,1.23,1.07,1.01,2.8,1.27,1.15,2.53,1.4,1.27
f_0,0.64,0.34,0.79,0.98,0.71,0.8,1.18,1.38,1.19,1.19,1.34,2.99,1.44,1.35,1.49,2.66
h_0,0.78,1.13,0.89,0.79,0.69,0.7,0.58,1.43,0.9,0.97,1.24,1.16,0.6,1.11,2.02,1.06
a_0,0.72,0.77,0.9,0.94,0.59,0.27,1.06,1.06,1.35,1.24,1.38,1.11,1.36,3.84,1.24,1.15
g_0,0.63,0.83,1.26,0.68,0.61,0.7,0.99,0.75,0.78,1.07,1.55,1.75,1.18,1.32,1.05,1.4
e_0,0.37,0.79,0.89,0.78,0.73,0.78,1.37,1.14,1.38,1.27,1.39,1.38,1.4,1.37,1.49,4.03
