,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.07,0.82,0.86,0.73,0.49,0.43,0.54,0.36,0.43,0.37,0.34,0.36,0.34,0.24
f_1,0.89,1.0,1.24,0.97,0.81,0.67,0.43,0.51,0.4,0.46,0.39,0.38,0.31,0.32,0.26,0.32
e_1,0.93,0.82,1.0,1.16,1.0,0.75,0.5,0.63,0.44,0.51,0.41,0.42,0.41,0.36,0.34,0.37
c_1,1.24,1.0,0.84,1.0,1.2,0.74,0.52,0.35,0.42,0.44,0.35,0.4,0.37,0.33,0.35,0.32
b_1,1.16,1.21,0.98,0.86,1.0,1.29,0.59,0.46,0.51,0.48,0.48,0.43,0.41,0.33,0.36,0.34
a_1,1.35,1.48,1.35,1.31,0.78,1.0,0.66,0.53,0.58,0.61,0.66,0.56,0.52,0.49,0.43,0.43
h_1,2.02,2.32,1.99,1.93,1.71,1.5,1.0,0.81,0.83,1.0,0.78,0.82,0.7,0.56,0.65,0.74
d_0,2.28,1.99,1.61,2.88,2.22,1.83,1.24,1.0,0.84,1.1,0.95,0.97,0.86,0.75,0.76,0.86
c_0,1.89,2.45,2.26,2.32,1.88,1.64,1.24,1.14,1.0,1.06,1.22,0.9,0.88,0.9,0.73,0.71
g_1,2.74,2.17,1.96,2.24,2.07,1.59,1.01,0.91,0.95,1.0,0.94,1.08,0.69,0.64,0.76,0.68
b_0,2.34,2.61,2.26,2.78,2.18,1.55,1.28,1.06,0.84,1.1,1.0,0.93,0.96,1.03,0.86,0.74
f_0,2.72,2.68,2.33,2.52,2.4,1.83,1.19,1.04,1.1,0.96,1.06,1.0,0.95,0.84,1.16,0.69
h_0,2.99,3.17,2.52,2.63,2.43,1.93,1.39,1.17,1.14,1.43,1.08,1.1,1.0,0.92,0.87,1.02
a_0,2.79,3.2,2.83,3.03,3.1,1.98,1.68,1.24,1.13,1.59,1.01,1.15,1.06,1.0,0.97,0.95
e_0,2.99,3.69,3.05,2.92,2.78,2.21,1.46,1.38,1.36,1.25,1.24,0.9,1.13,1.02,1.0,0.98
g_0,4.03,3.07,2.82,3.14,2.93,2.48,1.42,1.21,1.46,1.47,1.3,1.45,0.99,1.04,1.03,1.0
