,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.96,0.92,0.59,0.59,0.48,0.36,0.36,0.35,0.37,0.32,0.33,0.27,0.32,0.25,0.26,0.16
e_1,0.6,0.96,0.56,0.71,0.56,0.45,0.43,0.36,0.6,0.36,0.38,0.36,0.36,0.26,0.32,0.23
d_1,0.71,0.62,0.96,0.57,0.52,0.4,0.45,0.36,0.35,0.54,0.43,0.33,0.38,0.33,0.28,0.26
c_1,0.73,0.62,0.58,0.95,0.83,0.49,0.42,0.37,0.34,0.32,0.29,0.33,0.37,0.3,0.29,0.26
b_1,0.78,0.67,0.64,0.55,0.95,0.74,0.46,0.37,0.43,0.38,0.32,0.35,0.42,0.23,0.36,0.26
a_1,0.89,0.73,0.79,0.63,0.56,0.94,0.55,0.44,0.45,0.5,0.49,0.42,0.47,0.28,0.35,0.3
h_1,1.26,0.96,0.97,0.88,0.71,0.52,0.81,0.64,0.59,0.51,0.54,0.44,0.45,0.41,0.53,0.39
g_1,1.02,0.92,1.21,0.91,0.82,0.63,0.63,0.79,0.56,0.57,0.58,0.61,0.51,0.45,0.43,0.4
d_0,1.06,0.89,0.83,1.45,0.84,0.66,0.65,0.52,0.74,0.45,0.62,0.5,0.57,0.46,0.45,0.42
c_0,1.25,0.99,0.99,0.93,0.66,0.61,0.75,0.64,0.65,0.75,0.93,0.52,0.66,0.55,0.52,0.48
b_0,1.23,0.99,1.04,1.14,0.7,0.56,0.74,0.64,0.61,0.56,0.75,0.52,0.62,0.75,0.47,0.46
f_0,1.1,0.93,1.13,1.03,0.97,0.7,0.8,0.59,0.67,0.67,0.69,0.74,0.65,0.55,0.51,0.76
h_0,1.4,1.12,1.14,1.01,0.9,0.66,0.7,0.75,0.61,0.61,0.63,0.54,0.56,0.5,0.61,0.38
a_0,1.5,1.14,1.11,1.09,0.96,0.6,0.86,0.65,0.67,0.62,0.58,0.59,0.68,0.69,0.59,0.51
g_0,1.19,1.06,1.48,1.09,0.94,0.74,0.66,0.62,0.73,0.72,0.74,0.85,0.7,0.55,0.55,0.55
e_0,1.67,1.2,1.14,1.17,1.01,0.66,0.79,0.71,0.72,0.7,0.69,0.49,0.76,0.63,0.58,0.68
