,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,4.09,3.64,3.33,3.56,3.68,1.55,1.84,1.4,1.4,1.88,,1.11,1.52,1.35,1.78
e_1,2.34,0.41,3.97,4.02,3.82,4.51,2.01,2.03,1.62,1.86,1.5,1.61,1.16,,1.85,1.21
d_1,3.4,3.85,0.41,4.11,3.58,3.42,1.79,1.24,2.24,,1.65,1.46,1.18,2.16,1.21,0.99
c_1,3.6,3.35,3.49,0.38,4.36,3.92,1.89,2.15,,0.94,1.97,1.43,1.33,2.02,1.54,1.26
b_1,3.66,4.28,2.88,2.1,0.37,4.33,1.89,2.15,1.42,1.83,,1.77,1.59,2.02,1.57,1.33
a_1,3.51,3.95,3.58,3.14,2.23,0.29,1.98,1.65,2.2,1.95,,1.9,1.37,,,1.21
h_1,1.84,1.75,2.01,1.83,1.89,1.62,0.27,0.89,0.79,0.83,0.62,1.16,,0.59,1.0,0.73
g_1,1.9,1.72,2.48,1.74,1.67,2.41,0.89,0.24,0.74,0.75,0.82,1.32,0.5,0.82,0.68,
c_0,1.74,1.67,0.83,,2.04,1.36,0.99,1.13,0.29,0.85,1.01,0.65,0.54,0.57,0.67,0.61
d_0,1.91,1.03,,1.83,1.28,1.22,0.78,1.14,0.67,0.28,0.53,0.66,0.58,1.12,1.01,0.87
b_0,1.38,1.5,1.71,1.54,,,1.1,0.74,0.43,0.82,0.28,0.64,0.66,0.78,0.93,0.54
f_0,,1.66,1.74,1.85,1.32,1.9,0.64,0.51,0.78,0.86,0.71,0.27,0.64,,0.73,0.42
h_0,1.16,1.35,1.61,1.38,1.51,1.23,,0.9,0.58,0.54,0.48,0.47,,,0.59,0.53
e_0,2.46,,1.33,1.49,1.64,,1.15,0.87,0.76,0.5,0.61,,,0.21,0.72,0.73
a_0,2.25,1.75,2.25,1.85,1.66,,0.63,0.98,0.74,0.74,0.41,0.77,0.71,0.53,0.22,0.57
g_0,1.39,1.38,1.79,1.38,1.33,1.29,0.55,,0.53,0.51,0.68,0.62,0.39,0.52,0.57,
