,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.42,0.64,0.57,0.83,0.59,0.69,0.97,0.8,2.41,0.79,1.0,1.1,1.11,1.07,0.62,1.03
f_1,1.59,12.61,0.6,0.62,0.59,0.42,0.74,0.78,0.92,0.81,1.01,0.56,0.95,0.91,0.71,0.95
d_1,0.54,0.86,15.02,0.45,0.52,0.67,1.13,1.1,0.54,2.33,1.27,0.95,1.01,1.11,0.97,1.04
c_1,0.51,0.53,0.64,14.9,1.9,0.66,0.74,0.83,0.86,0.46,0.6,0.8,0.88,0.89,1.04,0.81
b_1,0.59,0.57,0.66,0.64,14.91,1.63,0.93,0.88,0.78,0.9,0.42,0.87,1.02,0.76,1.02,0.99
a_1,0.54,0.73,0.81,0.75,0.59,21.12,1.11,1.05,0.76,1.08,1.14,1.32,0.94,0.5,1.05,0.92
h_1,0.69,1.31,0.74,0.81,0.58,0.66,3.7,1.43,0.82,0.93,1.06,1.03,0.76,0.86,1.24,1.76
g_1,0.57,0.63,1.87,0.68,0.53,0.89,1.02,4.69,0.59,1.19,1.3,1.98,0.9,1.0,1.18,0.67
d_0,0.58,0.73,0.48,2.53,0.91,0.67,0.98,0.76,2.29,0.69,0.99,1.17,1.11,1.0,1.27,1.02
c_0,0.83,0.87,0.82,0.66,0.42,0.77,1.32,1.15,1.14,2.4,3.64,1.44,1.17,1.47,1.27,1.18
b_0,0.78,0.99,0.75,0.84,0.43,0.47,1.08,1.13,1.15,1.06,3.23,1.27,1.43,3.49,1.21,1.21
f_0,0.58,0.45,0.88,0.99,0.72,0.78,1.11,1.26,0.98,0.91,1.37,3.15,1.13,0.95,3.36,1.17
h_0,0.67,1.33,0.81,0.72,0.63,0.76,0.66,1.58,0.9,0.92,0.98,1.06,0.86,1.07,1.19,1.37
a_0,0.72,0.9,0.97,1.04,0.63,0.43,1.36,1.07,0.95,1.19,0.92,0.87,1.04,3.57,1.11,0.92
e_0,0.46,0.71,1.09,0.81,0.87,0.59,1.44,1.8,0.91,0.97,1.14,1.14,1.26,1.21,3.62,1.42
g_0,0.74,0.73,1.66,0.62,0.76,0.66,0.99,0.74,0.71,1.07,1.09,1.9,1.07,1.18,1.36,0.76
