,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,14.07,0.58,0.72,0.5,0.62,0.58,0.96,0.49,0.99,2.33,1.17,1.27,1.05,1.15,1.22,1.1
e_1,0.46,11.81,0.77,0.93,0.66,0.77,1.01,2.26,0.96,0.75,0.87,1.0,1.13,0.86,0.52,0.84
f_1,0.67,1.59,13.69,0.6,0.44,0.62,0.8,0.89,0.83,0.86,0.53,0.87,0.84,0.97,0.54,0.7
c_1,0.64,0.58,0.58,13.48,1.58,0.51,0.88,0.94,0.73,0.45,0.89,0.63,1.0,0.84,0.91,1.16
b_1,0.65,0.58,0.53,0.71,15.73,1.67,0.99,0.67,0.77,0.82,0.93,0.6,0.78,0.67,1.01,1.2
a_1,0.65,0.61,0.64,0.62,0.71,21.89,0.99,0.97,1.26,1.08,1.17,1.15,1.05,0.55,1.17,0.89
h_1,0.81,0.72,1.38,0.74,0.65,0.54,3.69,1.0,1.58,1.02,0.96,0.99,0.7,1.24,1.09,1.29
d_0,0.48,0.7,0.72,2.16,0.93,0.76,1.07,1.94,0.82,0.58,1.05,0.85,1.0,0.81,1.1,0.95
g_1,1.64,0.57,0.59,0.68,0.67,0.59,0.84,1.02,4.82,1.0,1.99,1.12,1.21,1.45,1.56,0.75
c_0,1.0,0.72,0.98,0.54,0.46,0.64,1.25,1.09,1.16,2.65,1.09,3.51,1.31,1.5,1.48,1.32
f_0,0.99,0.55,0.55,0.85,0.88,0.82,1.03,1.18,1.2,1.01,2.85,1.04,1.23,1.32,3.23,1.07
b_0,0.98,0.77,0.99,0.91,0.32,0.49,1.02,1.16,1.01,1.0,1.21,2.86,1.34,3.52,1.28,1.07
h_0,1.04,0.73,1.34,0.76,0.61,0.68,0.66,1.03,1.31,0.95,1.02,1.05,0.75,1.07,1.06,1.47
a_0,0.99,0.69,1.04,0.75,0.64,0.37,1.29,1.03,1.1,1.26,1.35,0.95,1.2,3.37,1.56,1.06
e_0,1.26,0.29,0.98,0.82,0.82,0.72,1.34,1.01,1.03,1.08,1.12,1.08,1.39,1.33,3.48,1.26
g_0,1.95,0.55,0.63,0.71,0.68,0.76,0.97,0.78,0.77,0.99,2.41,1.22,1.11,1.12,1.2,1.0
