,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,24.55,0.69,0.27,0.32,0.37,0.29,0.78,0.72,0.66,0.67,0.9,0.16,0.7,0.66,0.56,0.7
e_1,0.35,24.94,0.3,0.34,0.31,0.32,0.75,0.7,1.71,0.75,0.79,0.88,0.77,0.93,0.16,0.89
d_1,0.39,0.27,29.07,0.25,0.33,0.31,0.73,1.81,0.14,0.66,0.97,0.87,0.93,0.99,0.86,1.0
c_1,0.33,0.32,0.32,29.75,0.71,0.28,0.61,0.15,0.8,0.67,0.57,1.0,0.72,0.7,0.79,0.62
b_1,0.36,0.33,0.41,0.31,30.21,0.69,0.59,0.65,0.88,0.76,0.14,0.69,0.54,0.82,0.76,0.86
a_1,0.4,0.22,0.37,0.38,0.3,44.15,0.86,0.76,0.74,0.66,0.79,0.72,0.18,1.08,0.92,0.98
h_1,0.83,0.66,0.55,0.7,0.41,0.63,9.66,1.58,1.28,1.7,1.66,1.75,1.97,0.67,1.77,2.13
c_0,0.77,0.66,0.88,0.25,0.54,0.54,1.41,4.96,1.15,1.38,3.37,1.27,2.32,1.62,1.75,1.65
d_0,0.64,0.71,0.22,1.69,0.6,0.54,1.19,0.97,5.21,1.23,1.48,1.5,1.18,1.48,1.71,1.31
g_1,0.42,0.48,1.26,0.72,0.53,0.67,0.9,1.29,1.13,11.27,1.37,2.3,1.62,1.79,1.42,0.7
b_0,0.61,0.68,0.82,0.75,0.16,0.64,1.42,1.53,1.32,1.54,6.14,1.73,3.37,1.86,1.38,1.68
f_0,0.2,0.58,0.66,0.89,0.78,0.77,1.59,1.48,1.25,1.29,1.34,6.55,1.33,1.73,4.15,1.94
a_0,0.88,0.55,0.82,0.54,0.69,0.26,1.81,1.82,1.86,1.29,1.45,1.37,7.8,2.12,1.66,1.81
h_0,0.83,0.63,0.72,0.65,0.48,0.77,0.43,1.53,1.57,1.54,1.68,1.45,1.4,0.65,1.79,1.92
e_0,0.73,0.16,0.57,0.65,0.91,0.69,1.92,2.0,1.2,1.62,1.63,1.71,1.61,2.49,9.74,1.98
g_0,0.5,0.56,1.08,0.81,0.49,0.73,1.62,1.38,1.07,0.6,1.53,2.38,1.3,1.26,1.6,0.63
