,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,24.17,0.29,0.29,0.43,0.33,0.32,0.77,0.75,1.46,0.69,0.92,0.74,0.88,0.22,0.93,0.85
d_1,0.32,25.04,0.37,0.26,0.36,0.34,0.77,0.81,0.15,1.61,0.78,1.0,0.87,0.87,0.92,0.68
f_1,0.73,0.32,25.72,0.34,0.27,0.28,0.72,0.58,0.8,0.75,0.11,0.84,0.58,0.52,0.73,0.88
c_1,0.27,0.33,0.33,29.58,0.76,0.35,0.61,0.76,0.87,0.1,0.76,0.6,0.93,0.63,0.77,0.73
b_1,0.28,0.33,0.35,0.29,32.79,0.7,0.83,0.72,0.83,0.87,0.89,0.18,0.93,0.78,0.43,0.82
a_1,0.3,0.33,0.41,0.43,0.3,45.02,0.78,0.69,0.53,0.76,0.72,0.89,0.91,1.06,0.12,0.94
h_1,0.48,0.62,1.14,0.47,0.59,0.53,10.04,1.77,1.27,1.63,1.41,1.29,0.61,1.79,1.54,2.7
g_1,0.5,1.25,0.45,0.66,0.54,0.66,1.17,10.07,1.2,1.14,2.39,1.43,1.2,1.89,1.29,0.6
d_0,0.8,0.23,0.53,1.51,0.61,0.79,1.43,1.0,5.27,1.02,1.39,0.94,1.51,1.71,1.31,1.9
c_0,0.79,0.92,0.76,0.22,0.45,0.6,1.24,1.27,1.16,6.21,1.78,3.03,2.09,1.73,1.52,1.49
f_0,0.6,0.85,0.19,0.76,0.76,0.55,1.55,1.05,1.79,1.12,7.05,1.51,2.42,3.89,1.66,2.27
b_0,0.49,0.74,0.86,0.7,0.13,0.68,1.55,1.18,1.66,1.64,1.85,7.0,1.8,1.51,4.12,1.74
h_0,0.41,0.72,1.19,0.58,0.62,0.74,0.27,1.91,1.33,1.66,1.54,1.9,0.53,1.6,1.27,1.94
e_0,0.16,0.76,0.77,0.74,0.68,0.74,1.18,2.26,2.06,1.49,1.81,2.34,2.41,9.87,1.66,2.03
a_0,0.61,0.7,0.86,0.67,0.69,,1.18,1.25,1.99,1.33,2.19,2.07,2.19,1.6,9.75,1.48
g_0,0.4,1.31,0.51,0.7,0.48,0.6,1.35,0.53,1.48,1.25,2.61,1.56,2.36,2.03,1.57,0.56
