,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.39,0.26,0.31,0.21,0.26,,0.6,0.5,0.9,,0.65,0.61,0.84,0.69,0.64,0.72
e_1,0.23,2.41,0.23,0.29,0.22,0.32,0.52,0.55,0.51,1.09,0.65,0.48,0.79,0.75,,0.73
f_1,0.27,0.43,2.43,0.35,0.28,0.28,0.46,0.53,0.58,0.56,0.67,,0.73,0.59,0.57,0.5
c_1,0.34,0.32,0.24,2.63,0.44,0.25,0.61,0.51,,0.55,0.57,0.74,0.74,,,0.96
b_1,0.27,0.3,0.27,0.22,2.8,,0.61,0.55,0.66,0.6,,0.56,0.47,0.56,0.83,0.86
a_1,,0.28,0.29,0.24,,3.29,0.46,0.64,0.45,0.71,0.57,0.76,1.02,,,0.72
h_1,0.51,0.46,0.65,0.48,0.61,0.62,3.7,1.39,1.08,1.26,1.03,1.0,,0.98,1.22,1.97
g_1,0.71,0.47,0.34,0.63,0.57,0.44,0.81,4.13,1.34,0.98,1.27,1.74,1.29,1.04,1.47,
c_0,0.56,0.66,0.67,,0.5,0.68,1.11,1.01,3.28,1.46,2.43,1.43,1.93,1.15,1.21,1.5
d_0,,0.44,0.67,1.01,0.71,0.62,1.23,1.27,1.25,3.51,1.53,1.3,1.62,1.29,1.59,1.57
b_0,0.56,0.7,0.6,0.52,,0.45,1.38,1.07,1.29,1.08,3.65,1.03,2.04,2.57,1.09,2.3
f_0,0.68,0.55,,0.51,0.59,0.7,1.45,0.94,1.38,1.4,1.48,3.7,2.05,1.55,2.24,1.17
h_0,0.65,0.79,0.98,0.77,1.09,0.47,,1.99,1.75,1.78,1.11,1.32,,1.57,1.48,2.51
a_0,0.51,0.52,0.64,,0.52,,1.52,1.19,1.98,1.14,1.01,1.48,2.09,4.27,,1.47
e_0,0.69,,0.62,,0.47,,1.22,0.98,1.47,1.59,1.26,1.33,1.9,,4.48,1.82
g_0,1.1,0.65,0.84,0.59,0.67,0.93,1.34,,1.93,1.51,1.12,2.83,1.52,1.66,1.32,
