,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.51,0.38,0.41,0.58,0.42,0.39,0.63,0.96,0.44,0.48,0.58,0.66,0.56,0.36,0.41,0.51
f_1,0.92,1.52,0.42,0.35,0.34,0.34,0.46,0.51,0.49,0.64,0.25,0.4,0.55,0.34,0.54,0.48
d_1,0.42,0.56,1.55,0.42,0.45,0.35,0.55,0.27,0.51,0.93,0.55,0.53,0.55,0.48,0.4,0.49
c_1,0.35,0.48,0.49,1.54,0.78,0.39,0.54,0.49,0.42,0.2,0.58,0.43,0.68,0.43,0.41,0.61
b_1,0.48,0.5,0.49,0.4,1.59,0.67,0.55,0.58,0.45,0.53,0.56,0.35,0.62,0.49,0.39,0.59
a_1,0.48,0.6,0.56,0.5,0.34,1.73,0.52,0.7,0.55,0.47,0.49,0.64,0.76,0.57,0.25,0.57
h_1,0.54,0.95,0.75,0.81,0.67,0.56,1.68,0.86,1.01,0.8,0.77,0.79,0.57,0.72,0.73,1.12
d_0,0.63,0.7,0.47,1.28,0.7,0.53,0.92,1.45,0.93,0.78,0.95,0.98,0.77,0.83,0.91,0.88
g_1,0.71,0.71,0.96,0.83,0.71,0.55,0.72,0.67,1.76,0.82,1.24,0.75,0.84,0.77,0.76,0.49
c_0,0.91,0.82,0.76,0.56,0.57,0.64,0.99,1.03,0.82,1.55,1.01,1.36,0.93,0.71,0.79,1.06
f_0,0.69,0.45,0.82,0.88,0.76,0.74,0.92,1.02,0.87,0.79,1.58,1.01,0.98,1.35,0.97,0.85
b_0,0.65,1.15,0.77,0.91,0.37,0.42,0.95,1.01,0.96,0.82,0.84,1.62,0.99,0.92,1.44,1.03
h_0,0.75,1.05,0.84,0.8,0.69,0.6,0.72,1.08,1.09,0.98,1.0,0.91,0.57,0.72,0.77,1.06
e_0,0.49,1.15,0.81,0.93,0.78,0.64,1.07,1.1,1.05,1.03,0.71,0.88,1.47,1.7,1.13,1.23
a_0,0.96,0.79,0.87,0.97,0.8,0.37,1.12,0.96,1.03,1.09,0.87,0.79,1.01,0.58,1.63,0.94
g_0,0.66,0.75,1.24,0.71,0.72,0.58,0.84,0.93,0.76,1.01,1.31,0.89,1.02,0.81,0.96,0.67
