,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.1,1.03,0.9,0.93,0.98,0.98,0.79,1.2,0.95,1.11,0.96,1.05,1.04,0.99,0.86
f_1,0.91,1.0,1.25,0.96,1.0,0.87,0.89,1.07,0.98,1.08,0.96,0.98,1.03,0.87,0.81,1.05
e_1,0.96,0.81,1.0,1.27,1.03,0.97,1.03,1.02,0.93,1.34,1.1,1.07,1.02,1.02,1.03,1.04
c_1,1.11,1.03,0.81,1.0,1.29,1.01,1.04,1.08,0.82,0.7,0.71,0.99,0.86,0.98,0.96,1.02
b_1,1.08,0.99,0.96,0.78,1.0,1.34,1.09,1.12,1.09,0.96,0.99,0.99,0.91,1.06,0.93,1.07
a_1,1.01,1.13,1.01,0.99,0.75,1.0,1.25,1.13,1.06,1.03,1.1,1.1,0.95,1.11,1.19,1.23
h_1,1.0,1.14,0.97,0.94,0.9,0.83,1.0,1.1,1.0,0.98,1.07,0.96,0.97,1.05,1.06,1.1
g_1,1.23,0.95,0.96,0.91,0.88,0.91,0.88,1.0,0.9,0.91,1.01,1.18,1.02,0.91,1.12,0.96
c_0,0.83,1.04,1.09,1.22,0.96,1.0,0.96,1.12,1.0,1.33,1.36,1.0,1.15,0.99,1.07,0.95
d_0,1.02,0.9,0.78,1.43,1.04,0.99,0.98,1.09,0.77,1.0,0.96,1.02,1.11,1.04,0.99,0.93
b_0,0.89,1.09,0.92,1.36,1.06,0.85,0.94,0.97,0.73,1.09,1.0,0.95,1.34,1.06,0.98,0.97
f_0,1.04,1.01,0.9,1.06,1.1,0.9,1.03,0.84,1.01,1.0,0.94,1.0,1.0,1.01,1.46,0.91
a_0,0.94,0.97,0.97,1.15,1.1,1.01,1.07,0.94,0.85,0.99,0.78,0.99,1.0,1.11,1.01,1.06
h_0,0.96,1.15,1.0,0.98,0.93,0.91,0.96,1.1,0.98,0.97,0.93,0.97,0.9,1.0,0.86,1.06
e_0,1.02,1.26,0.93,1.05,1.11,0.89,1.0,0.88,0.95,0.98,1.01,0.67,1.01,1.17,1.0,0.89
g_0,1.23,0.97,0.96,0.96,0.94,0.82,0.89,0.98,1.08,1.01,1.0,1.08,0.95,0.94,1.05,1.0
