,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.94,1.25,0.57,0.61,0.45,0.48,0.61,0.9,0.84,0.59,0.84,0.34,0.94,0.9,0.49,0.78
e_1,0.63,15.42,0.47,0.7,0.52,0.49,0.96,1.92,0.72,0.85,0.9,0.93,0.93,1.13,0.51,0.95
d_1,0.71,0.44,18.51,0.48,0.53,0.57,0.81,0.34,2.36,0.88,1.28,1.11,1.07,0.98,1.09,0.97
c_1,0.59,0.54,0.45,18.14,1.23,0.47,0.86,0.75,0.4,0.81,0.56,0.86,0.8,0.85,1.08,0.79
b_1,0.46,0.44,0.58,0.53,18.77,1.58,0.96,0.89,0.75,1.0,0.44,0.94,0.98,0.7,0.77,0.84
a_1,0.55,0.43,0.7,0.49,0.63,26.6,1.2,1.01,0.94,1.03,1.07,1.17,1.08,0.43,1.18,1.33
h_1,1.23,0.64,0.92,0.69,0.56,0.54,5.42,1.04,1.21,1.72,1.29,1.1,0.67,1.07,1.31,1.84
d_0,0.78,0.77,0.41,2.15,0.73,0.55,1.31,2.9,0.58,1.02,1.12,1.1,1.29,1.09,1.1,1.14
c_0,0.93,0.77,0.85,0.38,0.63,0.78,1.24,1.21,3.04,1.15,3.6,1.08,1.35,1.39,1.53,1.4
g_1,0.45,0.61,1.93,0.74,0.61,0.59,1.06,1.06,1.03,6.88,1.3,2.27,1.47,1.32,1.54,0.82
b_0,1.0,0.96,0.82,0.84,0.28,0.52,1.15,1.01,1.14,1.29,3.94,1.35,1.19,3.36,1.73,1.33
f_0,0.46,0.54,1.03,0.84,0.75,0.65,1.26,1.17,1.24,1.31,1.42,4.47,1.5,1.32,4.03,1.33
h_0,1.07,0.8,0.85,0.73,0.66,0.7,0.68,1.15,1.31,1.59,1.21,1.28,0.58,1.03,1.05,1.81
a_0,0.72,0.71,1.0,0.89,0.57,0.27,1.19,1.13,1.39,1.36,1.76,1.64,1.32,4.53,1.15,1.61
e_0,0.67,0.36,0.96,0.83,1.0,0.75,1.29,0.85,1.49,1.11,1.46,1.23,1.68,1.03,5.71,1.3
g_0,0.57,0.62,1.72,0.61,0.73,0.6,1.13,1.05,1.06,1.03,1.09,2.55,1.05,1.35,1.45,0.84
