,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.59,0.54,0.7,0.56,0.4,0.39,0.58,0.36,0.34,0.37,0.38,0.26,0.34,0.23,0.33
f_1,0.93,0.96,0.58,0.61,0.46,0.35,0.38,0.4,0.35,0.34,0.34,0.24,0.29,0.32,0.2,0.27
d_1,0.72,0.69,0.96,0.54,0.48,0.37,0.49,0.33,0.34,0.56,0.41,0.33,0.31,0.33,0.29,0.29
c_1,0.62,0.64,0.63,0.95,0.85,0.44,0.43,0.33,0.33,0.3,0.28,0.31,0.28,0.34,0.28,0.31
b_1,0.69,0.73,0.68,0.58,0.95,0.7,0.45,0.41,0.36,0.39,0.3,0.34,0.27,0.36,0.31,0.28
a_1,0.78,0.88,0.73,0.72,0.58,0.94,0.56,0.42,0.43,0.45,0.43,0.39,0.27,0.41,0.32,0.34
h_1,1.03,1.16,0.88,0.89,0.77,0.5,0.82,0.53,0.58,0.49,0.49,0.44,0.42,0.45,0.41,0.52
d_0,0.91,0.98,0.86,1.45,0.95,0.62,0.63,0.74,0.58,0.43,0.56,0.52,0.48,0.54,0.42,0.45
g_1,0.93,0.93,1.27,0.96,0.85,0.57,0.67,0.52,0.81,0.63,0.56,0.71,0.48,0.51,0.51,0.45
c_0,1.11,1.13,0.96,1.04,0.7,0.61,0.74,0.71,0.58,0.76,0.9,0.54,0.59,0.58,0.45,0.53
b_0,1.09,1.16,1.0,1.15,0.89,0.56,0.82,0.63,0.63,0.55,0.72,0.54,0.8,0.61,0.46,0.52
f_0,0.95,1.03,1.13,1.07,1.06,0.7,0.76,0.68,0.58,0.62,0.66,0.71,0.51,0.58,0.76,0.53
a_0,1.28,1.16,1.03,1.07,0.98,0.63,0.76,0.69,0.63,0.61,0.51,0.59,0.71,0.65,0.49,0.51
h_0,1.22,1.33,1.26,1.02,0.93,0.64,0.69,0.66,0.76,0.64,0.59,0.6,0.52,0.56,0.48,0.67
e_0,1.12,1.36,1.22,1.1,0.94,0.86,0.81,0.64,0.61,0.69,0.73,0.52,0.55,0.68,0.67,0.53
g_0,1.14,1.14,1.52,1.11,1.09,0.7,0.74,0.66,0.56,0.71,0.64,0.78,0.54,0.59,0.6,0.49
