,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.3,0.24,0.19,0.23,0.43,0.1,0.48,0.37,0.48,0.08,0.48,0.28,0.58,0.36,0.3,0.44
f_1,0.26,2.3,0.27,0.4,0.18,0.11,0.44,0.39,0.38,0.43,0.07,0.5,0.52,0.19,0.39,0.41
d_1,0.2,0.23,2.35,0.16,0.21,0.14,0.45,0.42,0.14,0.97,0.48,0.6,0.54,0.42,0.38,0.54
e_1,0.25,0.23,0.17,2.37,0.22,0.17,0.35,0.33,1.01,0.39,0.45,0.44,0.7,0.09,0.33,0.64
b_1,0.21,0.25,0.17,0.23,2.45,0.37,0.47,0.31,0.52,0.4,0.46,0.08,0.51,0.42,0.34,0.4
a_1,0.31,0.21,0.2,0.19,0.19,3.06,0.37,0.4,0.48,0.45,0.44,0.38,0.59,0.48,0.06,0.54
h_1,0.34,0.61,0.42,0.34,0.26,0.34,2.77,0.78,0.68,0.89,0.78,0.83,0.3,0.5,0.64,1.1
g_1,0.33,0.31,0.65,0.35,0.3,0.25,0.75,3.02,0.73,0.83,1.3,0.77,0.85,0.78,0.76,0.39
d_0,0.81,0.42,0.15,0.43,0.33,0.26,0.53,0.65,2.19,0.64,0.77,0.79,0.81,0.56,0.62,0.87
c_0,0.2,0.44,0.53,0.38,0.27,0.3,0.77,0.74,0.81,2.39,0.93,1.81,1.05,0.81,0.84,1.29
f_0,0.37,0.15,0.54,0.37,0.42,0.4,0.65,0.63,0.74,0.93,2.5,0.97,0.92,1.31,0.71,0.98
b_0,0.37,0.56,0.46,0.44,0.11,0.22,0.63,0.81,0.97,0.92,0.71,2.47,1.1,0.77,1.31,1.03
h_0,0.38,0.55,0.4,0.39,0.37,0.31,0.23,1.01,0.89,0.73,0.77,0.74,0.46,0.59,0.78,1.19
e_0,0.44,0.53,0.41,,0.45,0.3,1.01,0.64,0.67,0.66,0.9,0.93,1.24,3.06,0.71,1.01
a_0,0.54,0.46,0.6,0.37,0.33,,0.81,0.55,0.73,0.58,0.56,0.42,0.87,0.56,2.79,1.15
g_0,0.42,0.3,0.71,0.35,0.37,0.24,0.6,0.3,0.71,0.74,1.08,0.74,0.92,0.51,0.7,0.41
