,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.44,4.79,4.94,4.12,4.33,4.35,1.16,5.77,0.87,0.78,0.92,0.73,0.62,0.79,0.8,0.34
f_1,3.67,0.44,3.79,5.5,4.88,2.99,0.84,0.96,1.03,1.34,0.93,5.04,0.51,0.82,0.83,0.74
e_1,4.99,2.38,0.43,4.69,4.76,4.83,1.6,0.99,0.89,2.0,1.29,1.06,0.72,0.96,3.02,0.83
c_1,5.7,4.44,4.74,0.42,4.32,4.87,1.23,0.48,2.75,1.36,0.79,0.82,0.7,0.93,0.98,0.76
b_1,5.78,5.39,4.88,2.55,0.39,7.83,1.42,1.12,1.11,1.21,3.93,0.94,0.78,1.41,0.93,0.75
a_1,5.59,5.78,6.93,10.1,3.09,0.34,1.44,0.95,1.11,1.6,1.38,1.93,0.74,4.12,1.44,0.91
h_1,4.48,4.8,6.13,5.02,4.41,5.67,0.36,1.24,0.92,1.71,0.89,1.04,2.18,0.86,1.07,0.96
d_0,15.36,5.76,2.58,5.5,4.84,6.75,1.92,0.45,1.2,1.87,1.35,1.31,0.88,1.31,1.22,1.02
c_0,2.89,5.28,6.12,18.54,7.81,5.03,1.76,1.35,0.44,1.81,1.0,0.87,0.83,1.12,0.86,1.09
g_1,6.2,6.69,5.77,5.35,5.68,5.66,1.43,1.45,1.18,0.32,1.07,0.95,0.5,1.06,0.99,1.9
b_0,4.31,6.06,6.4,8.35,18.98,5.39,1.7,0.99,0.65,1.59,0.39,1.07,0.71,0.99,1.57,0.78
f_0,5.23,26.41,6.2,5.65,5.89,5.96,1.96,1.65,0.99,1.06,1.09,0.41,0.92,1.44,0.98,0.59
h_0,7.6,5.98,5.76,6.69,8.61,5.85,5.16,1.36,1.33,1.78,1.27,1.26,2.74,1.44,1.05,1.07
a_0,6.02,9.02,7.03,6.4,11.51,15.56,2.06,1.17,1.22,3.3,0.74,1.23,0.85,0.35,1.22,0.96
e_0,6.46,13.29,29.8,7.12,6.09,8.04,1.86,1.73,1.53,2.09,1.33,0.53,1.04,1.36,0.34,0.86
g_0,7.52,9.84,7.7,6.59,10.9,6.38,2.18,1.66,1.44,4.13,1.57,1.58,0.78,1.71,1.45,1.84
