,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.29,1.46,0.78,0.77,0.66,0.56,1.44,1.74,1.44,1.22,1.48,0.92,1.88,0.92,1.3,1.86
e_1,0.93,2.3,1.08,0.7,0.66,0.54,1.39,3.09,1.58,1.3,1.82,1.57,2.3,1.02,1.46,1.71
c_1,0.86,0.68,2.46,0.74,1.49,0.76,1.42,1.6,0.9,1.17,0.95,1.5,2.05,1.56,1.03,1.49
d_1,1.08,0.85,0.64,2.52,0.71,0.54,1.54,1.2,3.08,1.31,1.8,1.5,2.41,1.38,1.44,2.0
b_1,0.81,0.81,0.77,0.79,2.62,1.4,1.47,1.54,1.56,1.22,0.87,1.53,1.87,1.45,0.89,1.84
a_1,0.94,0.72,0.82,0.89,0.73,3.05,1.75,1.74,1.75,1.65,1.75,1.94,2.07,1.49,0.88,1.9
h_1,1.25,0.95,0.86,1.03,0.79,0.58,3.37,1.68,1.65,2.0,1.78,1.78,1.62,1.65,1.65,2.67
d_0,0.87,0.93,1.6,0.56,0.99,0.62,1.66,2.89,1.48,1.41,1.59,1.82,2.32,1.72,1.6,2.09
c_0,1.03,0.95,0.78,1.06,0.65,0.71,1.92,1.91,3.1,1.63,3.59,1.77,2.48,1.61,1.78,2.58
g_1,0.89,0.9,0.95,1.31,0.69,0.68,1.54,1.71,1.86,3.67,1.58,2.47,2.24,1.85,1.53,1.32
b_0,1.2,1.01,1.05,0.89,0.51,0.45,1.9,2.04,1.91,1.69,3.37,1.66,2.91,1.69,3.78,2.32
f_0,0.8,0.71,1.08,1.06,0.9,0.73,1.67,2.08,1.92,1.58,1.96,3.48,2.12,3.61,1.86,2.36
h_0,1.34,0.87,0.95,0.92,0.74,0.69,1.28,1.92,1.86,2.04,1.99,1.6,1.76,1.39,1.57,2.88
e_0,0.88,0.71,1.02,1.08,1.01,0.71,1.66,1.75,1.9,1.48,1.6,2.06,2.14,3.38,1.75,2.6
a_0,1.14,0.9,0.96,0.96,0.91,0.33,1.69,2.33,2.11,1.26,2.13,1.73,2.85,1.98,3.72,2.28
g_0,0.9,0.82,0.87,1.53,0.78,0.64,1.59,1.58,2.04,1.28,1.97,2.64,2.02,1.9,1.69,1.57
