,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.39,0.36,0.26,0.42,0.3,0.31,0.74,1.62,0.67,0.8,0.82,0.76,1.06,1.05,0.21,0.68
f_1,0.69,23.63,0.34,0.29,0.31,0.34,0.68,0.66,0.64,0.98,0.71,0.22,0.73,0.6,0.68,0.8
d_1,0.33,0.51,29.2,0.21,0.22,0.34,0.85,0.17,0.68,1.46,0.99,0.78,0.78,0.76,1.01,0.85
c_1,0.32,0.31,0.22,29.85,0.85,0.29,0.71,0.83,0.55,0.15,0.74,0.72,0.85,0.68,0.83,0.8
b_1,0.29,0.24,0.38,0.43,31.28,0.73,0.57,0.58,0.88,0.66,0.14,1.13,0.89,0.66,0.66,0.81
a_1,0.32,0.31,0.42,0.4,0.22,43.88,0.8,0.62,0.97,0.62,0.91,0.83,1.16,0.14,0.9,0.92
h_1,0.62,1.04,0.6,0.63,0.53,0.51,9.99,1.38,1.48,1.07,1.56,1.26,0.52,1.27,1.42,2.49
d_0,0.43,0.58,0.26,1.72,0.78,0.71,1.09,5.29,1.11,1.06,1.71,1.53,1.56,1.78,1.8,1.83
g_1,0.5,0.51,1.24,0.35,0.73,0.72,1.69,1.06,12.67,1.6,1.08,2.59,1.63,1.57,1.69,0.58
c_0,0.55,0.79,0.87,0.27,0.37,0.62,1.54,1.84,1.47,6.36,3.56,1.78,1.21,2.21,1.35,2.37
b_0,0.59,0.75,0.85,0.68,0.17,0.55,1.5,1.83,1.47,1.7,6.65,1.72,1.93,3.26,2.25,2.18
f_0,0.57,0.2,0.59,0.67,0.97,0.84,1.49,1.93,1.56,1.5,1.33,7.27,1.6,1.6,4.13,1.5
h_0,0.58,1.02,0.71,0.66,0.75,0.56,0.36,1.39,1.71,1.27,1.22,1.14,0.49,1.13,1.09,1.79
a_0,0.68,0.86,0.78,0.61,0.54,0.24,1.72,1.83,0.96,1.29,1.95,1.61,1.87,8.74,1.39,1.42
e_0,0.16,0.77,0.87,0.72,0.86,0.53,1.42,1.91,1.31,2.02,1.39,2.03,2.6,1.71,8.16,2.3
g_0,0.58,0.47,1.36,0.65,0.64,0.46,1.1,1.09,0.73,1.61,1.84,1.91,1.19,1.87,1.78,0.65
