,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.85,1.01,0.99,0.71,0.59,0.61,0.7,0.53,0.62,0.47,0.48,0.45,0.44,0.57
e_1,0.85,1.0,0.91,1.11,0.82,0.92,0.81,0.92,0.72,0.71,0.54,0.69,0.62,0.61,0.79,0.61
d_1,1.18,1.09,1.0,0.83,0.87,0.82,0.7,0.72,0.55,0.87,0.65,0.54,0.65,0.6,0.63,0.43
c_1,0.98,0.9,1.22,1.0,1.3,0.78,0.75,0.5,0.64,0.54,0.58,0.63,0.66,0.54,0.56,0.54
b_1,1.01,1.22,1.16,0.77,1.0,1.41,0.83,0.71,0.68,0.67,0.71,0.53,0.55,0.47,0.43,0.54
a_1,1.41,1.09,1.22,1.3,0.7,1.0,0.89,0.78,0.78,0.8,0.89,0.87,0.69,0.91,0.83,0.78
h_1,1.67,1.23,1.43,1.34,1.19,1.05,1.0,0.92,1.3,0.87,0.85,0.83,0.85,0.75,0.84,0.85
d_0,1.55,1.1,1.51,2.04,1.44,1.32,1.1,1.0,0.92,0.92,0.85,0.95,0.87,0.82,0.86,0.93
g_1,1.45,1.41,1.86,1.54,1.42,1.2,0.78,1.04,1.0,0.77,0.94,1.14,0.77,0.94,0.79,0.76
c_0,1.73,1.39,1.13,1.82,1.48,1.24,1.19,1.15,1.33,1.0,1.31,0.97,0.95,1.02,0.86,0.89
b_0,1.66,1.75,1.55,1.75,1.67,1.06,1.22,1.12,1.08,0.76,1.0,1.05,0.85,1.38,0.94,0.79
f_0,1.9,1.51,1.86,1.63,1.92,1.17,1.21,1.05,0.86,1.05,0.98,1.0,1.01,0.9,1.25,0.75
h_0,2.1,1.65,1.49,1.6,1.8,1.5,1.18,1.14,1.33,1.07,1.09,0.93,1.0,1.05,0.95,1.1
a_0,2.28,1.57,1.65,1.8,2.02,1.04,1.34,1.23,1.11,1.0,0.76,1.04,0.97,1.0,1.09,0.89
e_0,2.26,1.48,1.65,1.84,2.08,1.32,1.24,1.17,1.25,1.12,1.04,0.75,0.97,0.93,1.0,1.3
g_0,1.72,1.6,2.4,1.92,1.77,1.36,1.16,1.11,1.38,1.13,1.14,1.37,0.94,1.11,0.87,1.0
