,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.12,3.35,4.49,3.77,4.45,3.56,0.9,0.78,1.23,0.74,0.78,1.45,0.51,0.8,0.83,0.76
e_1,2.37,1.12,4.29,4.01,4.66,4.44,1.31,1.11,1.69,0.92,0.83,1.22,0.67,2.52,0.92,0.77
c_1,4.11,4.23,1.12,6.23,4.82,4.66,1.42,0.54,1.44,1.5,1.02,0.85,0.63,0.67,0.77,0.63
d_1,5.85,6.46,5.17,1.12,5.06,4.48,1.53,2.57,0.92,0.95,1.11,1.01,0.82,1.18,1.24,0.5
b_1,6.77,6.07,2.98,6.62,1.13,6.65,1.64,1.34,1.54,1.9,2.2,1.25,0.84,0.97,1.18,0.71
a_1,9.44,8.66,8.04,9.89,3.57,1.14,2.66,2.33,2.43,1.87,2.2,1.54,1.16,1.45,2.97,1.38
h_1,15.6,14.41,15.24,12.57,18.38,12.96,1.7,2.8,4.06,2.91,2.79,2.99,3.73,2.6,2.92,1.9
d_0,17.46,9.22,21.67,35.45,18.26,16.57,5.72,2.18,5.74,4.2,3.42,3.28,2.75,4.26,3.62,2.94
g_1,20.91,16.64,19.98,19.85,24.09,21.06,4.13,3.73,1.74,3.83,3.76,3.46,2.09,3.94,3.35,3.75
c_0,23.49,21.99,43.91,9.76,21.49,23.79,5.5,6.52,5.45,2.2,5.22,4.72,2.85,3.98,4.58,3.12
b_0,26.8,19.28,35.88,17.73,53.73,21.74,7.02,5.52,6.41,2.32,2.28,4.63,3.15,5.01,4.31,3.35
f_0,42.29,22.12,27.58,24.82,23.28,22.98,6.45,6.03,4.61,4.51,4.62,2.23,3.56,4.31,4.83,1.97
h_0,34.6,28.48,36.27,28.36,28.22,27.32,16.3,6.64,10.06,6.3,6.76,6.39,6.69,5.55,6.14,5.0
e_0,42.29,55.29,36.27,29.2,34.07,30.18,7.58,6.13,8.84,7.47,6.84,3.53,4.13,2.51,6.24,3.84
a_0,32.25,27.85,41.2,32.73,48.17,49.32,10.8,6.7,10.38,6.17,3.79,9.18,5.88,8.32,2.53,5.34
g_0,50.75,42.73,40.2,33.84,37.25,33.7,8.82,8.44,15.21,8.29,7.64,6.92,3.63,6.2,6.7,7.68
