,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.63,1.72,1.15,1.89,1.55,1.39,4.96,13.31,6.74,5.65,8.09,7.89,12.91,9.15,3.97,9.65
f_1,2.63,5.94,1.38,1.5,1.18,1.34,6.27,6.84,7.17,4.6,7.46,3.44,9.21,6.97,5.93,11.42
d_1,1.5,1.57,6.62,1.02,1.52,1.49,5.69,2.66,13.6,5.74,7.63,7.73,11.21,8.48,7.45,11.28
c_1,1.38,1.33,1.39,7.08,3.11,1.38,4.52,7.06,2.04,4.55,5.92,6.6,10.29,5.77,8.05,10.08
b_1,1.21,1.55,1.47,1.69,8.01,2.98,5.08,7.31,6.7,6.53,4.23,7.21,10.57,5.87,8.09,9.29
a_1,1.52,1.9,1.63,1.58,1.29,10.38,6.07,7.86,5.91,3.75,7.04,6.58,10.76,3.01,8.91,11.81
h_1,1.55,2.7,2.1,1.61,1.6,1.49,16.52,7.32,9.23,8.91,9.59,9.22,8.74,10.28,7.57,16.64
d_0,1.81,1.96,1.12,3.54,1.92,1.73,5.95,14.82,5.86,6.16,8.23,8.61,14.62,8.68,8.45,12.67
c_0,1.86,2.31,2.25,1.05,1.49,2.22,8.1,7.16,16.09,6.79,15.36,9.21,13.39,10.89,10.42,14.22
g_1,1.34,1.42,3.47,1.69,1.43,1.9,7.08,7.19,8.01,21.07,8.26,14.92,12.14,6.95,12.52,8.65
b_0,1.88,1.98,2.06,1.87,1.03,1.68,7.57,8.79,9.71,7.21,17.46,9.96,15.06,20.45,10.41,14.35
f_0,1.43,1.22,2.25,2.27,1.66,1.97,7.54,8.73,10.44,8.19,9.89,19.67,16.6,10.65,22.38,15.06
h_0,1.76,2.47,1.96,1.99,1.84,1.65,5.34,9.11,8.9,9.83,8.39,9.22,8.22,9.25,10.27,16.1
a_0,1.95,2.26,2.21,1.88,1.5,0.67,8.21,7.48,8.69,7.93,8.96,11.67,14.83,25.73,8.61,16.49
e_0,0.86,1.73,2.27,1.67,2.27,2.0,8.85,8.74,9.83,8.15,11.83,11.19,14.58,11.18,27.04,14.81
g_0,1.59,1.5,2.92,1.75,1.96,1.7,6.52,6.29,9.65,5.31,9.08,14.1,13.05,13.31,11.11,8.77
