,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.09,2.31,2.34,2.06,2.17,2.08,0.53,0.71,0.54,0.41,0.45,0.59,0.26,0.42,0.41,0.37
e_1,1.6,1.09,2.83,2.41,2.4,2.17,0.73,0.86,0.55,0.5,0.49,0.66,0.36,0.45,0.68,0.4
c_1,2.61,2.01,1.09,3.24,2.44,2.41,0.75,0.68,0.32,0.64,0.5,0.47,0.38,0.53,0.5,0.36
d_1,2.62,2.98,2.45,1.09,2.65,2.07,0.65,0.47,0.68,0.51,0.53,0.56,0.37,0.51,0.53,0.25
b_1,3.24,2.94,1.94,3.05,1.11,2.95,0.85,0.92,0.59,0.9,0.95,0.7,0.47,0.64,0.59,0.42
a_1,5.84,4.71,4.25,4.63,2.45,1.12,1.56,1.31,0.97,0.79,1.21,0.81,0.69,1.01,0.79,0.62
h_1,9.86,9.1,9.01,8.08,7.85,6.99,1.5,2.5,1.99,1.72,1.88,1.63,1.88,1.72,1.7,1.33
g_1,11.74,12.28,11.27,11.97,11.27,11.45,2.78,1.6,2.47,2.29,2.38,2.33,1.38,2.69,2.01,1.7
d_0,11.66,7.89,13.75,16.0,12.14,11.51,3.65,4.14,1.88,2.65,2.54,2.3,2.19,2.92,2.45,2.19
c_0,12.5,14.37,17.53,7.47,12.52,11.65,3.7,3.31,3.94,1.88,2.56,2.73,1.95,2.67,3.01,1.72
b_0,13.13,12.91,19.38,10.13,16.23,11.73,4.03,3.72,3.09,1.59,1.83,2.78,2.1,2.46,2.74,1.96
f_0,16.52,14.2,16.01,13.96,14.49,14.14,4.23,2.7,3.04,3.0,3.18,1.86,2.01,3.22,2.5,1.52
h_0,17.98,18.2,17.72,16.49,18.69,15.63,6.16,4.66,3.31,3.33,3.08,3.41,3.0,3.05,2.98,2.2
a_0,21.99,19.61,20.58,15.12,19.59,19.04,5.75,4.97,4.4,3.23,2.36,4.59,2.59,2.09,3.99,2.55
e_0,28.08,26.49,19.61,19.41,18.33,18.67,5.79,4.22,4.46,4.05,4.49,2.18,3.63,5.14,2.15,2.47
g_0,21.86,21.25,21.11,20.9,21.52,22.36,4.71,6.66,3.99,4.45,4.32,4.19,2.31,4.32,3.67,3.55
