,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.2,0.23,0.17,0.27,0.2,0.18,0.38,0.3,1.04,0.48,0.45,0.41,0.62,0.33,0.11,0.45
f_1,0.4,2.23,0.19,0.21,0.21,0.14,0.39,0.28,0.5,0.47,0.55,0.11,0.59,0.34,0.23,0.65
d_1,0.27,0.24,2.39,0.15,0.17,0.16,0.45,0.33,0.09,1.04,0.52,0.47,0.56,0.42,0.43,0.49
c_1,0.25,0.22,0.22,2.42,0.39,0.1,0.46,0.32,0.37,0.07,0.38,0.5,0.47,0.39,0.43,0.45
b_1,0.23,0.23,0.25,0.28,2.53,0.29,0.37,0.38,0.43,0.33,0.09,0.43,0.51,0.24,0.4,0.44
a_1,0.2,0.26,0.27,0.2,0.17,3.17,0.45,0.38,0.43,0.52,0.32,0.59,0.69,0.08,0.33,0.63
h_1,0.35,0.58,0.4,0.39,0.3,0.28,2.8,0.79,0.61,0.77,0.73,0.78,0.32,0.65,0.61,1.0
g_1,0.32,0.38,0.68,0.39,0.25,0.27,0.73,3.17,0.63,0.68,0.65,1.08,0.87,0.65,0.65,0.3
d_0,0.34,0.42,0.13,0.77,0.42,0.3,0.87,0.76,2.24,0.63,0.82,0.66,1.03,0.7,0.59,0.77
c_0,0.41,0.54,0.46,0.14,0.26,0.24,0.89,0.77,0.88,2.26,1.45,0.75,1.21,0.83,1.02,0.84
b_0,0.45,0.46,0.47,0.38,0.19,0.22,0.77,0.89,0.83,0.78,2.49,0.67,1.07,1.78,0.68,0.9
f_0,0.34,0.17,0.54,0.38,0.46,0.3,0.7,0.84,0.73,0.84,1.02,2.62,1.31,0.56,1.38,0.96
h_0,0.37,0.64,0.31,0.39,0.39,0.22,0.27,0.91,0.84,0.75,0.73,0.65,0.42,0.56,0.66,1.2
a_0,0.41,0.41,0.54,0.39,0.31,,0.66,0.84,0.56,0.93,0.75,0.7,1.22,2.86,0.72,0.99
e_0,0.19,0.55,0.41,0.36,0.35,0.37,0.81,0.64,0.75,0.97,0.97,0.64,1.42,0.61,2.81,0.83
g_0,0.46,0.3,0.57,0.41,0.38,0.27,0.64,0.38,0.76,0.65,0.69,1.11,0.84,0.8,0.7,0.42
