,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,4.0,0.29,0.45,0.47,0.35,0.38,0.75,0.71,0.8,1.58,0.99,0.84,0.82,0.19,0.69,0.59
d_1,0.41,4.04,0.37,0.32,0.35,0.39,0.73,0.7,1.68,0.16,0.95,0.89,0.92,1.0,0.77,0.86
f_1,0.71,0.43,4.05,0.33,0.34,0.3,0.82,0.76,0.74,0.84,0.11,0.81,0.79,0.56,0.99,0.84
c_1,0.29,0.34,0.41,4.48,0.79,0.36,0.7,0.6,0.14,0.88,0.85,0.4,0.98,0.81,0.79,1.01
b_1,0.4,0.29,0.37,0.38,4.68,0.85,0.8,0.71,0.59,0.79,0.84,0.14,1.13,0.86,0.74,0.82
a_1,0.37,0.4,0.36,0.52,0.41,6.5,0.57,0.87,0.72,0.76,0.68,1.0,0.76,1.02,0.14,0.99
h_1,0.59,0.79,0.96,0.78,0.59,0.48,4.78,1.52,1.3,1.15,1.35,1.77,0.44,1.28,1.31,2.05
g_1,0.63,1.25,0.6,0.39,0.65,0.58,1.28,6.03,1.43,1.13,2.17,1.59,1.09,1.43,1.15,0.64
c_0,0.66,0.83,0.84,0.31,0.59,0.7,1.52,1.53,4.15,1.1,1.51,3.03,1.24,1.58,1.94,1.72
d_0,0.82,0.15,0.7,1.54,0.72,0.43,1.42,0.93,0.8,3.95,1.36,1.45,1.47,1.22,1.24,1.22
f_0,0.6,0.91,0.3,0.68,0.77,0.57,1.46,1.47,1.72,1.32,4.82,1.81,1.82,3.61,1.36,1.81
b_0,0.58,1.13,0.86,0.77,0.19,0.43,1.35,1.3,1.48,1.13,1.54,4.94,2.02,1.32,3.28,1.36
h_0,0.57,0.69,0.99,0.74,0.6,0.68,0.54,2.12,1.47,1.54,1.32,1.36,0.68,1.3,1.79,2.36
e_0,0.23,0.98,0.96,0.74,0.53,0.86,1.55,1.41,1.34,1.44,1.34,1.61,1.87,6.28,1.17,1.62
a_0,0.72,0.88,0.89,0.74,0.56,,1.53,1.21,1.34,1.33,1.62,1.42,2.14,1.57,6.19,2.07
g_0,0.56,1.25,0.55,0.85,0.57,0.61,1.27,0.49,1.21,1.02,1.9,1.74,1.49,1.64,1.53,0.66
