,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,0.95,1.1,0.88,0.68,0.49,0.47,0.55,0.39,0.41,0.4,0.39,0.38,0.3,0.32
f_1,1.25,1.0,0.91,0.93,0.8,0.66,0.41,0.47,0.43,0.42,0.41,0.34,0.32,0.28,0.27,0.28
d_1,1.04,1.09,1.0,0.9,0.88,0.75,0.5,0.39,0.45,0.58,0.49,0.38,0.37,0.35,0.34,0.26
c_1,0.93,1.08,1.13,1.0,1.3,0.75,0.52,0.46,0.33,0.36,0.34,0.37,0.37,0.35,0.32,0.3
b_1,1.13,1.22,1.11,0.78,1.0,1.16,0.58,0.53,0.47,0.48,0.47,0.47,0.32,0.44,0.35,0.39
a_1,1.48,1.51,1.32,1.33,0.86,1.0,0.83,0.72,0.59,0.62,0.64,0.46,0.56,0.53,0.51,0.49
h_1,2.07,2.44,2.03,1.9,1.67,1.16,1.0,1.11,0.85,0.84,0.81,0.77,0.69,0.68,0.64,0.74
g_1,2.12,2.14,2.53,2.15,1.82,1.35,0.92,1.0,0.97,0.92,0.9,0.95,0.77,0.8,0.71,0.59
d_0,1.77,2.28,2.22,3.0,2.21,1.71,1.15,1.09,1.0,0.83,0.88,0.8,0.78,0.84,0.8,0.74
c_0,2.61,2.41,1.72,2.76,2.25,1.58,1.17,1.11,1.23,1.0,1.35,0.9,1.0,0.93,0.77,0.67
b_0,2.44,2.42,1.98,2.83,2.32,1.47,1.25,1.11,1.16,0.72,1.0,0.9,1.19,0.91,0.82,0.74
f_0,2.48,3.0,2.54,2.64,2.18,2.15,1.28,1.05,1.38,1.18,1.05,1.0,1.02,1.11,1.24,0.71
a_0,2.69,3.24,2.7,2.61,2.88,1.9,1.36,1.24,1.2,1.03,0.88,0.96,1.0,1.07,1.0,0.9
h_0,2.73,3.53,2.8,2.85,2.26,1.83,1.42,1.25,1.15,1.08,1.16,0.88,0.89,1.0,0.95,0.97
e_0,3.42,3.82,2.8,2.99,2.68,2.08,1.58,1.39,1.28,1.19,1.21,0.76,0.97,1.01,1.0,0.94
g_0,3.25,3.56,3.82,3.35,2.68,2.01,1.35,1.61,1.35,1.45,1.38,1.39,1.03,0.99,1.08,1.0
