,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.36,0.17,0.18,0.12,0.07,0.16,0.12,0.16,0.16,0.13,0.05,0.15,0.08,0.1,0.06
e_1,0.25,0.89,0.15,0.22,0.1,0.09,0.18,0.12,0.16,0.33,0.17,0.14,0.17,0.12,0.12,0.04
d_1,0.24,0.17,0.89,0.14,0.13,0.1,0.18,0.14,0.32,0.06,0.18,0.16,0.18,0.11,0.14,0.08
c_1,0.19,0.18,0.18,0.88,0.29,0.08,0.15,0.13,0.06,0.16,0.12,0.16,0.16,0.11,0.12,0.09
b_1,0.18,0.2,0.2,0.17,0.88,0.21,0.14,0.13,0.11,0.12,0.05,0.12,0.15,0.08,0.12,0.09
a_1,0.17,0.22,0.26,0.14,0.13,0.88,0.18,0.11,0.15,0.13,0.17,0.16,0.2,0.05,0.17,0.11
h_1,0.31,0.24,0.23,0.2,0.17,0.11,0.56,0.23,0.19,0.21,0.19,0.17,0.13,0.11,0.21,0.13
g_1,0.26,0.19,0.34,0.21,0.16,0.11,0.19,0.55,0.18,0.14,0.19,0.22,0.18,0.13,0.09,0.14
c_0,0.27,0.24,0.26,0.13,0.15,0.14,0.26,0.17,0.42,0.14,0.38,0.21,0.21,0.13,0.22,0.14
d_0,0.24,0.23,0.11,0.45,0.17,0.13,0.21,0.14,0.16,0.42,0.17,0.2,0.17,0.11,0.16,0.13
b_0,0.28,0.24,0.23,0.23,0.09,0.08,0.24,0.17,0.19,0.2,0.45,0.19,0.24,0.29,0.21,0.13
f_0,0.17,0.18,0.28,0.23,0.2,0.16,0.22,0.19,0.22,0.21,0.21,0.41,0.21,0.15,0.16,0.28
h_0,0.37,0.22,0.22,0.23,0.14,0.12,0.14,0.2,0.21,0.19,0.2,0.16,0.1,0.14,0.25,0.11
a_0,0.32,0.19,0.27,0.21,0.2,0.06,0.25,0.18,0.19,0.24,0.15,0.21,0.22,0.4,0.19,0.16
g_0,0.19,0.22,0.4,0.21,0.13,0.13,0.21,0.11,0.22,0.18,0.23,0.28,0.21,0.12,0.09,0.11
e_0,0.29,0.14,0.22,0.24,0.19,0.14,0.21,0.17,0.2,0.23,0.22,0.19,0.26,0.15,0.2,0.39
