,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.57,0.14,0.08,0.08,0.08,0.08,0.32,0.28,0.37,0.32,0.45,,0.76,0.21,0.25,0.46
e_1,0.08,5.81,0.07,0.08,0.06,0.06,0.31,0.31,0.36,0.7,0.45,0.37,0.59,,0.32,0.56
d_1,0.08,0.06,5.89,0.08,0.11,0.08,0.26,0.23,0.89,,0.35,0.36,0.45,0.44,0.27,0.42
c_1,0.09,0.07,0.06,7.02,0.16,0.09,0.29,0.3,,0.42,0.37,0.33,0.54,0.39,0.32,0.55
b_1,0.08,0.06,0.09,0.08,7.19,0.14,0.28,0.32,0.29,0.51,,0.5,0.43,0.33,0.37,0.56
a_1,0.08,0.05,0.08,0.07,0.07,11.65,0.35,0.21,0.43,0.53,,0.28,0.63,,,0.62
h_1,0.38,0.27,0.29,0.28,0.28,0.28,14.02,1.26,1.14,1.58,1.1,1.82,,1.06,2.0,2.86
g_1,0.29,0.26,0.46,0.24,0.25,0.3,1.26,16.9,0.97,0.95,1.73,2.37,1.66,1.36,1.25,
c_0,0.46,0.37,0.33,,0.41,0.26,1.44,1.48,11.63,1.98,3.47,1.79,3.11,2.0,1.91,3.35
d_0,0.44,0.39,,0.81,0.36,0.33,1.49,1.46,1.56,12.7,1.83,1.56,3.31,2.7,1.57,2.94
b_0,0.33,0.45,0.36,0.29,,,1.97,1.56,1.49,2.85,12.48,2.1,3.72,2.37,3.9,2.41
f_0,,0.38,0.43,0.43,0.37,0.28,1.01,0.92,2.17,2.04,2.31,13.96,3.82,,1.73,3.17
h_0,0.79,0.69,0.62,0.56,0.41,0.56,,2.98,3.28,3.12,2.71,2.82,,,2.17,5.63
e_0,0.34,,0.27,0.29,0.27,,2.04,1.44,2.64,1.2,1.86,,,21.82,3.02,3.16
a_0,0.42,0.3,0.5,0.38,0.39,,1.26,1.78,2.1,1.15,1.73,1.84,2.64,2.23,20.38,3.13
g_0,0.36,0.64,0.75,0.6,0.56,0.66,2.16,,2.9,1.72,3.04,4.69,4.18,2.23,3.13,
