,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,102.02,52.16,70.25,96.53,109.35,334.56,8172.46,15338.39,26734.22,19909.28,41345.38,44774.8,88227.92,155256.78,135100.48,160031.04
f_1,77.17,108.91,62.48,78.85,86.77,306.41,6597.53,14187.13,17487.08,23887.27,40661.42,27423.3,67261.13,145154.48,121073.43,132428.3
d_1,43.84,55.96,134.8,56.0,98.84,317.21,6613.28,13213.18,12425.11,33440.13,41277.25,40218.65,88980.46,131600.99,129324.14,145410.05
c_1,41.03,47.32,70.84,146.05,141.79,294.19,6070.31,12326.27,12007.84,13558.51,24490.54,32329.73,77483.91,145304.09,127492.66,126235.86
b_1,38.65,47.45,57.5,56.97,184.29,436.31,5007.78,10795.16,13582.04,21971.29,24149.8,34233.87,76860.12,134146.87,102042.2,141472.46
a_1,27.19,32.54,36.28,47.86,50.79,498.45,4411.78,9447.37,9158.07,9679.1,23358.28,22038.8,49430.47,88218.4,56923.0,86526.15
h_1,12.35,18.08,19.62,22.11,26.96,77.7,2968.67,4907.91,4004.11,5811.08,10873.82,13198.48,18896.96,55560.39,38949.12,45064.81
g_1,9.97,10.94,20.56,17.12,19.44,61.8,1444.82,5317.92,2742.66,5060.51,8418.2,12975.7,16348.82,29654.09,33414.45,36714.31
d_0,9.0,12.22,11.41,28.12,22.2,67.48,1534.35,3274.79,4798.38,3748.94,8746.72,9910.45,18991.63,34701.54,29283.57,36798.75
c_0,10.79,10.17,12.73,13.67,15.46,70.39,1584.93,2940.33,3719.99,6326.18,14529.67,8528.21,16367.96,38144.83,31267.21,29036.68
b_0,7.59,9.74,12.01,15.28,14.61,49.28,1237.39,2400.33,2682.4,2916.54,9464.69,6449.59,14774.8,30291.29,39769.25,26033.04
f_0,6.29,7.55,12.04,14.38,16.64,61.58,1016.37,2200.09,2682.28,3974.59,6908.3,9799.36,15925.05,28981.89,26520.44,46733.8
h_0,6.44,10.78,8.98,10.36,11.97,41.41,838.53,2425.26,2104.67,3008.58,4911.53,4702.72,9784.29,26479.64,18216.15,19841.41
g_0,4.82,5.62,11.43,8.71,10.71,34.67,688.45,1234.84,1627.57,2056.68,4048.24,5686.3,8800.75,14161.06,12647.01,14223.65
a_0,5.48,6.67,7.06,9.18,11.47,29.89,793.95,1419.32,1858.03,2715.31,3874.2,4362.32,10705.51,18688.48,24937.46,15570.63
e_0,3.03,6.13,7.75,9.48,10.54,35.13,853.94,1517.9,1764.11,2463.32,4396.07,3993.36,9040.27,19413.78,15730.09,27538.41
