,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.29,1.0,0.93,0.74,0.7,0.58,0.68,0.65,0.62,0.6,0.51,0.51,0.56,0.54,0.45
e_1,0.78,1.0,1.15,0.93,1.11,0.85,0.72,0.71,0.94,0.63,0.62,0.74,0.68,0.6,0.59,0.65
c_1,1.01,0.87,1.0,1.06,1.21,0.86,0.76,0.69,0.48,0.53,0.52,0.62,0.58,0.51,0.6,0.59
d_1,1.1,1.07,0.95,1.0,0.9,0.88,0.68,0.57,0.64,0.83,0.64,0.64,0.59,0.59,0.48,0.56
b_1,1.36,0.92,0.83,1.11,1.0,1.22,0.83,0.77,0.68,0.79,0.72,0.64,0.69,0.54,0.67,0.49
a_1,1.39,1.17,1.17,1.08,0.84,1.0,0.89,0.84,0.9,0.74,0.76,0.81,0.85,0.72,0.71,0.57
h_1,1.77,1.39,1.27,1.44,1.21,1.11,1.0,1.04,0.88,0.89,0.93,0.82,0.93,0.78,0.93,0.74
g_1,1.5,1.46,1.42,1.72,1.34,1.19,0.94,1.0,0.94,0.91,0.98,1.05,0.81,0.98,0.82,0.91
d_0,1.44,1.08,2.1,1.55,1.52,1.07,1.16,1.08,1.0,0.74,0.94,1.0,0.97,0.93,0.95,0.96
c_0,1.62,1.63,1.87,1.25,1.22,1.3,1.06,1.09,1.3,1.0,1.3,1.01,1.08,1.24,1.01,1.07
b_0,1.69,1.58,1.91,1.54,1.4,1.35,1.12,1.0,1.0,0.72,1.0,0.91,0.96,1.26,0.87,0.85
f_0,1.85,1.39,1.67,1.56,1.47,1.23,1.19,0.93,1.07,0.99,1.09,1.0,1.09,1.0,0.75,1.35
h_0,1.94,1.51,1.68,1.63,1.48,1.19,1.03,1.24,1.05,0.93,1.04,0.9,1.0,0.97,1.0,0.86
a_0,1.73,1.65,1.83,1.76,1.86,1.39,1.24,1.04,1.05,0.81,0.82,1.04,1.01,1.0,0.91,1.02
g_0,1.88,1.66,1.67,2.03,1.56,1.35,1.11,1.22,1.02,0.97,1.1,1.33,0.98,1.06,1.0,1.09
e_0,2.26,1.54,1.82,1.71,2.06,1.8,1.39,1.09,1.13,0.95,1.21,0.77,1.14,0.94,0.92,1.0
