,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.76,0.83,1.03,0.68,0.78,0.77,0.91,1.54,0.98,0.95,1.02,0.96,1.03,1.02,0.97,0.85
f_1,1.31,1.84,0.79,0.73,0.68,0.69,0.92,0.96,0.83,0.92,0.72,0.98,0.89,0.9,0.91,0.77
c_1,0.71,0.79,1.94,0.77,1.38,0.79,0.9,0.87,0.84,0.55,0.94,0.69,0.98,0.93,0.99,0.88
d_1,0.75,0.95,0.63,2.06,0.71,0.72,1.0,0.67,0.98,1.64,1.0,1.2,1.08,1.0,1.21,1.01
b_1,0.73,0.8,0.78,0.81,2.07,1.54,0.98,0.86,0.98,0.87,0.98,0.78,0.96,0.9,0.8,0.96
a_1,0.82,0.73,0.83,1.0,0.82,2.72,0.99,0.9,1.07,0.94,1.08,0.98,1.03,0.64,0.92,1.13
h_1,0.82,1.09,0.82,1.05,0.83,0.72,1.72,0.87,1.34,0.99,1.02,0.94,0.87,1.0,1.21,1.0
d_0,0.8,0.82,1.53,0.67,0.92,0.71,1.03,1.37,0.95,0.66,0.98,0.89,1.06,1.11,1.0,1.1
g_1,0.75,0.81,0.89,1.27,0.83,0.7,1.04,0.92,2.01,1.08,1.48,1.04,0.98,0.94,0.93,1.1
c_0,0.93,1.0,0.71,1.01,0.64,0.72,1.14,1.14,1.04,1.58,1.16,1.91,1.09,1.4,1.13,1.12
f_0,0.77,0.8,0.99,1.0,0.9,0.64,1.11,0.98,1.1,1.06,1.61,1.19,1.24,1.19,1.21,1.99
b_0,0.86,1.04,0.93,0.87,0.65,0.63,1.11,1.18,1.04,1.14,0.99,1.93,1.07,2.12,1.03,1.17
h_0,0.91,1.14,0.8,1.05,0.84,0.74,0.85,0.91,1.23,1.04,0.96,1.11,0.85,1.09,1.26,1.11
a_0,0.87,1.0,0.96,0.84,0.78,0.7,1.22,1.12,1.09,1.03,1.15,1.19,1.06,2.05,1.02,1.33
g_0,0.79,0.84,0.73,1.25,0.85,0.77,1.18,0.91,0.88,1.23,1.55,1.17,0.94,1.04,0.93,1.33
e_0,0.72,0.94,1.03,1.15,0.8,0.64,1.12,1.01,1.13,1.0,0.96,1.0,1.14,1.21,1.25,2.13
