,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.67,1.19,0.56,0.61,0.53,0.48,0.84,0.81,0.81,0.8,0.34,0.9,0.95,0.55,0.89,0.83
e_1,0.66,2.81,0.57,0.76,0.46,0.57,0.92,0.95,0.76,1.82,1.14,1.14,1.0,0.53,0.92,1.01
d_1,0.63,0.52,2.88,0.51,0.73,0.63,0.89,0.83,1.87,0.32,1.05,1.0,0.91,1.12,0.88,0.96
c_1,0.62,0.57,0.56,3.35,1.11,0.59,0.82,0.86,0.3,0.89,0.85,0.77,0.91,0.84,0.8,0.88
b_1,0.7,0.51,0.74,0.5,3.42,1.05,0.84,0.87,0.77,0.88,1.02,0.41,0.92,0.91,0.72,0.81
a_1,0.72,0.44,0.65,0.68,0.56,5.42,1.06,0.78,1.12,0.84,0.78,0.96,0.98,1.36,0.48,0.99
h_1,0.99,0.67,0.75,0.82,0.7,0.68,2.98,1.23,0.94,0.96,1.2,1.04,0.66,0.9,1.3,1.72
g_1,0.6,0.62,1.2,0.7,0.7,0.65,1.05,3.61,0.86,0.84,1.94,1.15,1.09,1.06,1.12,0.77
c_0,0.8,0.85,0.81,0.44,0.56,0.67,1.05,1.18,2.31,1.2,1.29,2.26,1.26,1.41,1.62,1.43
d_0,0.82,0.74,0.43,1.55,0.67,0.57,1.16,1.01,0.66,2.36,1.01,1.09,1.28,1.29,1.06,1.21
f_0,0.39,0.56,0.96,0.91,0.83,0.71,1.09,1.18,1.22,1.26,2.68,1.28,1.5,2.69,1.37,1.34
b_0,0.76,0.8,0.74,0.84,0.4,0.65,1.27,1.21,1.07,1.29,1.32,2.43,1.5,1.32,2.84,1.3
h_0,1.0,0.86,0.81,0.89,0.52,0.56,0.64,1.47,1.21,1.16,1.15,1.11,0.64,1.03,1.31,1.4
e_0,0.99,0.37,0.86,0.68,0.73,0.83,1.38,1.16,1.16,0.96,0.79,1.17,1.64,3.78,1.46,1.3
a_0,0.84,0.57,0.91,0.74,0.75,0.31,1.3,1.27,1.37,0.97,1.32,1.27,1.34,1.45,3.54,1.67
g_0,0.56,0.67,1.24,0.85,0.65,0.71,0.96,0.75,1.32,0.98,1.84,1.32,1.34,1.44,1.28,0.69
