,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.28,1.13,1.56,2.13,4.24,16.52,29.41,34.35,34.17,35.63,41.73,64.09,65.46,118.93,96.95
e_1,0.78,1.0,1.22,1.57,1.78,3.52,20.92,34.68,33.0,46.61,42.92,55.35,81.9,107.22,126.03,112.28
d_1,0.88,0.82,1.0,1.1,1.62,3.17,17.16,22.88,39.05,31.81,32.58,40.61,69.03,73.61,80.08,105.36
c_1,0.64,0.64,0.91,1.0,2.21,2.87,13.46,21.71,19.23,16.85,25.25,35.5,58.86,66.85,79.04,85.66
b_1,0.47,0.56,0.62,0.45,1.0,2.6,7.19,15.86,13.2,13.78,19.14,20.11,38.72,39.32,70.87,48.77
a_1,0.24,0.28,0.32,0.35,0.38,1.0,4.76,5.88,6.99,7.53,12.2,11.31,23.25,34.62,28.87,33.93
h_1,0.06,0.05,0.06,0.08,0.13,0.21,1.0,1.95,1.51,1.85,1.97,2.47,4.57,3.81,7.87,6.43
g_1,0.03,0.03,0.04,0.05,0.06,0.15,0.51,1.0,0.98,1.01,1.35,1.53,2.23,2.81,3.12,4.48
c_0,0.03,0.03,0.03,0.05,0.08,0.15,0.66,1.03,1.0,0.87,1.66,1.4,2.36,2.51,3.96,4.02
d_0,0.03,0.02,0.03,0.06,0.07,0.13,0.59,1.04,1.14,1.0,1.1,1.32,2.14,2.14,3.85,3.6
b_0,0.03,0.02,0.03,0.04,0.07,0.07,0.5,0.77,0.59,0.93,1.0,1.05,1.87,3.91,3.36,2.85
f_0,0.03,0.02,0.03,0.03,0.06,0.09,0.42,0.64,0.71,0.72,0.93,1.0,1.69,1.84,2.08,3.69
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.22,0.45,0.42,0.46,0.54,0.58,1.0,1.12,2.02,1.43
a_0,0.01,0.01,0.01,0.02,0.03,,0.27,0.35,0.4,0.45,0.26,0.51,0.89,1.0,1.47,1.52
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.29,0.24,0.25,0.29,0.49,0.49,0.7,1.0,0.89
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.25,0.28,0.35,0.25,0.68,0.65,1.2,1.0
