,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.94,2.19,2.96,1.73,2.11,2.12,8.25,18.26,10.4,7.78,11.26,11.74,16.66,11.15,7.77,16.06
f_1,3.71,6.09,2.11,2.07,1.91,1.99,7.59,10.29,8.57,6.26,10.42,5.85,14.14,10.17,8.65,13.64
c_1,1.87,2.19,6.44,2.21,4.13,2.17,7.86,10.29,6.44,7.21,7.02,9.65,17.6,10.52,11.66,15.32
d_1,2.03,2.37,1.65,6.65,1.96,2.28,8.2,6.86,18.43,8.92,14.04,11.72,16.68,14.11,12.7,18.83
b_1,1.8,2.47,2.2,1.99,8.02,4.69,7.79,8.69,9.09,8.0,5.31,10.46,15.46,8.22,13.55,14.77
a_1,2.18,2.71,2.46,2.26,2.22,10.35,8.74,10.25,11.67,8.15,11.21,10.26,15.9,6.76,11.56,15.25
h_1,2.23,3.35,2.29,2.67,2.15,2.28,18.61,10.07,11.2,13.07,11.17,11.47,11.52,11.33,15.23,22.17
d_0,2.38,2.4,4.34,1.71,2.47,2.32,8.84,17.19,8.97,9.3,12.54,11.93,18.57,13.08,14.03,16.3
c_0,2.71,2.6,1.97,2.94,1.64,2.63,8.73,12.32,18.81,8.9,21.23,12.43,17.18,14.18,14.15,19.59
g_1,1.92,1.88,2.31,3.75,2.32,2.38,9.04,10.07,11.51,23.37,11.69,20.12,16.56,12.59,14.55,14.6
b_0,2.75,2.3,2.89,2.7,1.7,2.02,9.76,12.08,11.8,9.62,20.2,12.86,18.5,23.99,11.75,20.76
f_0,2.0,1.8,2.59,2.4,2.77,2.92,11.53,13.26,12.21,10.46,11.56,22.72,18.22,14.86,25.27,19.16
h_0,2.3,3.07,2.58,2.67,2.46,2.29,7.18,11.84,12.1,11.22,10.96,11.05,13.83,12.86,13.15,22.37
a_0,2.4,2.25,2.64,2.7,2.54,1.61,9.44,13.8,12.05,11.81,11.84,16.05,18.38,27.06,12.96,18.67
e_0,1.62,2.62,2.61,2.85,2.68,2.75,10.27,11.69,11.94,10.16,13.21,13.42,19.15,15.24,26.85,14.82
g_0,2.08,1.99,2.48,3.96,2.35,2.51,9.49,8.62,11.6,6.84,10.5,18.19,18.99,13.44,15.23,15.58
