,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.21,1.1,1.29,1.79,2.63,15.52,28.91,28.87,25.72,38.71,46.79,62.32,58.12,131.75,96.58
e_1,0.83,1.0,1.09,1.32,1.72,2.93,23.27,29.53,44.08,32.8,46.69,68.16,80.43,76.35,132.79,130.23
d_1,0.92,0.91,1.0,1.08,1.41,2.73,16.66,19.68,25.58,38.11,42.76,49.29,62.56,71.16,91.11,122.68
c_1,0.78,0.76,0.93,1.0,1.87,2.23,14.41,20.02,17.24,21.12,26.28,39.53,54.34,57.44,92.86,82.18
b_1,0.56,0.58,0.7,0.54,1.0,2.36,12.01,18.52,18.41,17.73,19.68,35.33,39.92,46.48,72.59,80.37
a_1,0.38,0.34,0.36,0.45,0.42,1.0,7.88,10.68,10.09,10.82,13.81,17.41,33.28,32.53,40.9,42.7
h_1,0.06,0.04,0.06,0.07,0.08,0.13,1.0,1.8,1.59,1.61,2.04,2.63,3.34,4.06,7.19,6.5
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.55,1.0,0.82,1.02,1.41,2.14,2.07,2.15,4.63,3.88
d_0,0.03,0.02,0.04,0.06,0.06,0.09,0.6,1.17,1.0,0.87,1.3,1.67,2.38,2.61,3.76,3.71
c_0,0.04,0.03,0.03,0.04,0.05,0.09,0.59,1.03,1.22,1.0,2.1,1.98,2.71,2.61,4.14,4.18
b_0,0.03,0.02,0.02,0.04,0.05,0.06,0.5,0.7,0.79,0.49,1.0,1.16,2.65,2.12,3.29,2.97
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.39,0.44,0.59,0.5,0.84,1.0,1.34,1.44,1.86,3.95
a_0,0.02,0.01,0.02,0.02,0.03,0.04,0.3,0.45,0.42,0.35,0.44,0.74,1.0,1.02,1.63,1.29
h_0,0.02,0.01,0.01,0.02,0.02,0.03,0.24,0.48,0.38,0.38,0.47,0.69,0.95,1.0,1.8,1.64
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.22,0.25,0.23,0.31,0.55,0.64,0.56,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.26,0.24,0.23,0.34,0.24,0.75,0.63,0.99,1.0
