,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.03,0.96,0.8,0.82,0.66,0.5,0.54,0.37,0.41,0.44,0.37,0.34,0.34,0.27,0.32
f_1,0.94,1.0,1.23,0.93,0.82,0.66,0.43,0.4,0.46,0.46,0.37,0.36,0.32,0.31,0.33,0.26
e_1,1.05,0.83,1.0,1.07,0.95,0.75,0.5,0.44,0.48,0.57,0.43,0.45,0.38,0.34,0.37,0.36
c_1,1.24,1.11,0.94,1.0,1.35,0.74,0.47,0.46,0.46,0.36,0.35,0.39,0.39,0.34,0.35,0.34
b_1,1.23,1.2,1.05,0.75,1.0,1.24,0.65,0.54,0.52,0.45,0.54,0.47,0.42,0.38,0.42,0.38
a_1,1.5,1.52,1.31,1.34,0.84,1.0,0.73,0.59,0.69,0.58,0.64,0.53,0.53,0.47,0.52,0.42
h_1,2.0,2.27,1.97,2.15,1.51,1.36,1.0,0.83,1.03,0.89,0.75,0.79,0.7,0.63,0.7,0.63
c_0,1.89,2.48,2.43,2.07,1.74,1.68,1.18,1.0,1.05,1.08,1.3,0.85,0.86,0.9,0.75,0.78
g_1,2.6,2.21,2.03,2.16,1.91,1.45,0.92,0.93,1.0,0.87,0.92,0.96,0.73,0.76,0.67,0.8
d_0,2.43,2.19,1.79,2.68,2.25,1.68,1.12,0.92,1.09,1.0,0.99,0.89,0.81,0.77,0.78,0.74
b_0,2.25,2.58,2.44,2.87,1.93,1.59,1.31,0.82,1.09,1.02,1.0,1.02,0.95,1.16,0.84,0.87
f_0,2.71,2.65,2.25,2.52,2.18,1.91,1.3,1.14,1.02,1.08,1.01,1.0,0.95,0.93,0.72,1.19
h_0,2.92,3.11,2.7,2.49,2.41,1.83,1.42,1.15,1.29,1.2,1.06,1.08,1.0,0.89,1.08,0.8
a_0,2.94,3.29,2.91,3.03,2.54,1.97,1.59,1.15,1.34,1.32,0.87,1.17,1.13,1.0,1.02,1.01
g_0,3.64,3.15,2.81,2.91,2.36,1.87,1.41,1.37,1.41,1.26,1.19,1.36,0.92,0.97,1.0,1.06
e_0,3.17,3.66,2.81,2.73,2.57,2.35,1.59,1.36,1.23,1.42,1.15,0.86,1.2,0.99,0.9,1.0
