,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.37,0.87,1.02,0.95,0.72,0.72,0.5,0.96,,0.67,0.54,0.65,0.52,0.4,0.37
e_1,0.73,1.0,0.73,1.01,0.85,0.9,0.84,0.78,0.62,0.88,0.74,0.57,0.63,0.59,0.55,
f_1,1.15,1.37,1.0,1.07,0.75,0.8,0.74,0.45,0.67,0.64,0.63,,0.54,0.44,0.55,0.63
c_1,0.98,0.99,0.94,1.0,1.25,0.8,0.86,0.76,,0.51,0.41,0.58,0.74,0.63,0.6,0.79
b_1,1.05,1.17,1.33,0.8,1.0,1.19,0.65,0.61,0.73,0.77,,0.68,0.61,0.66,,0.52
a_1,1.39,1.11,1.25,1.24,0.84,1.0,0.75,0.58,0.94,0.72,0.9,0.76,0.8,0.6,,
h_1,1.38,1.19,1.36,1.16,1.53,1.33,1.0,1.39,1.0,0.78,1.05,0.86,,0.94,0.71,0.66
g_1,1.99,1.28,2.21,1.31,1.63,1.73,0.72,1.0,0.89,1.04,1.07,1.23,0.53,,,
c_0,1.04,1.61,1.49,,1.37,1.06,1.0,1.12,1.0,1.09,1.46,0.77,0.94,0.84,1.04,1.02
d_0,,1.14,1.55,1.96,1.3,1.38,1.29,0.96,0.92,1.0,0.8,0.97,0.93,0.95,1.14,0.76
b_0,1.48,1.36,1.58,2.43,,1.11,0.95,0.94,0.68,1.25,1.0,1.0,0.87,1.04,1.47,
f_0,1.85,1.75,,1.72,1.46,1.32,1.16,0.81,1.31,1.03,1.0,1.0,1.24,0.6,0.95,1.07
h_0,1.54,1.58,1.84,1.35,1.64,1.24,,1.89,1.07,1.08,1.15,0.81,,1.21,,1.05
g_0,1.91,1.69,2.26,1.59,1.52,1.66,1.07,,1.18,1.06,0.96,1.66,0.83,,,1.19
a_0,2.47,1.83,1.81,1.66,,,1.4,,0.96,0.88,0.68,1.06,,,1.0,
e_0,2.73,,1.58,1.26,1.92,,1.51,,0.98,1.31,,0.94,0.95,0.84,,1.0
