,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,0.92,2.02,2.05,1.78,1.73,0.55,0.56,0.41,0.34,0.33,0.47,0.38,0.25,0.52,0.24
f_1,1.47,0.42,1.83,1.8,1.69,1.63,0.36,0.55,0.36,0.4,0.36,0.79,0.35,0.17,0.3,0.33
c_1,1.52,1.64,0.41,2.01,1.96,1.8,0.63,0.54,0.21,0.37,0.66,0.35,0.34,0.25,0.34,0.27
d_1,1.98,2.02,1.97,0.41,1.91,1.57,0.47,0.31,0.96,0.33,0.32,0.35,0.32,0.23,0.34,0.15
b_1,2.28,2.19,1.06,1.89,0.39,2.02,0.5,0.62,0.37,1.01,0.54,0.35,0.38,0.32,0.43,0.36
a_1,1.98,2.7,2.44,2.14,1.08,0.34,0.86,0.86,0.56,0.62,0.46,0.6,1.13,0.38,0.57,0.37
h_1,3.17,3.7,2.72,2.41,2.75,1.97,0.32,0.78,0.63,0.57,0.6,0.57,0.63,0.62,0.57,0.5
g_1,3.83,3.42,2.9,2.65,3.38,2.66,0.67,0.3,0.74,0.66,0.63,0.64,0.68,0.33,0.59,0.8
d_0,1.8,2.98,3.31,4.69,3.62,3.14,0.97,1.15,0.38,0.77,0.61,0.79,0.65,0.56,0.73,0.52
b_0,3.19,3.19,4.11,2.31,6.91,2.94,0.93,0.85,0.67,0.34,0.35,0.63,0.6,0.48,0.57,0.37
c_0,3.49,3.27,7.97,1.72,3.59,3.64,0.94,0.96,1.11,0.56,0.36,0.71,0.59,0.53,0.66,0.48
f_0,3.81,7.03,2.68,3.12,3.69,4.22,1.08,0.6,0.74,0.64,0.69,0.31,0.67,0.52,0.59,0.3
a_0,4.17,4.31,3.77,3.94,5.71,6.17,1.09,1.37,0.91,0.41,0.63,0.72,0.32,0.54,0.57,0.53
h_0,4.03,3.79,3.91,4.18,3.74,3.46,1.65,1.23,0.78,0.76,0.79,0.78,0.65,0.88,0.66,0.62
e_0,6.66,5.29,3.96,3.33,4.47,4.11,0.97,0.86,0.86,0.92,0.81,0.4,0.87,0.72,0.31,0.54
g_0,4.47,4.97,4.02,4.44,3.75,4.21,0.94,1.84,1.11,0.89,0.89,0.9,0.68,0.53,0.72,0.78
