,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.4,4.07,4.37,5.2,3.89,1.15,0.96,1.37,0.85,0.92,1.25,0.77,0.61,2.14,0.66
f_1,3.88,1.12,4.28,4.64,4.19,3.83,0.85,0.96,1.56,0.8,0.7,1.8,1.02,0.45,0.87,0.74
d_1,5.86,4.71,1.11,4.99,4.01,5.38,1.35,2.09,0.86,0.87,1.07,0.74,0.97,0.63,0.76,0.43
c_1,4.04,5.39,6.5,1.12,4.58,3.99,1.58,0.55,1.36,1.66,0.97,0.87,0.91,0.74,0.94,0.71
b_1,5.61,7.01,6.39,3.07,1.13,5.61,1.76,1.27,1.81,1.78,2.58,1.23,1.26,0.95,1.09,0.73
a_1,8.58,10.5,9.45,7.89,4.31,1.14,2.78,1.88,2.97,2.08,2.18,1.72,3.5,1.49,1.39,1.72
h_1,14.43,15.16,13.56,14.47,16.36,13.01,1.71,3.24,3.74,2.88,2.56,2.52,2.62,3.54,2.47,2.11
d_0,10.2,20.71,35.78,21.71,21.24,24.32,6.38,2.24,6.07,3.73,3.65,3.48,4.52,3.13,4.48,3.41
g_1,17.23,19.07,17.52,23.12,21.57,19.72,5.17,3.86,1.77,3.85,3.23,3.99,4.57,1.98,3.67,4.36
c_0,21.86,20.83,10.64,45.9,23.98,19.93,6.83,6.27,5.0,2.22,4.5,4.02,4.84,2.8,3.52,3.6
b_0,19.42,25.52,19.22,32.13,49.68,20.36,7.0,4.41,5.96,2.32,2.33,4.13,5.7,3.78,3.9,3.15
f_0,22.11,72.48,23.35,25.1,25.76,21.53,8.11,5.13,4.58,4.93,4.78,2.41,4.78,3.58,4.91,2.21
a_0,33.85,27.88,24.73,31.81,42.8,56.76,8.68,6.52,7.47,5.36,2.98,5.6,2.35,4.46,5.76,4.36
h_0,31.1,30.71,28.99,31.19,31.98,30.21,13.56,6.52,7.83,5.92,6.43,5.94,6.3,6.51,4.78,4.3
e_0,54.64,50.33,25.1,41.73,29.28,29.73,10.09,8.58,8.33,7.08,7.71,3.06,6.21,5.29,2.63,4.47
g_0,34.46,48.97,32.03,32.13,44.87,41.62,8.35,9.88,13.83,7.6,7.83,6.32,8.67,3.89,6.72,8.28
