,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.19,0.86,0.98,0.88,0.73,0.63,0.72,0.59,0.66,0.61,0.53,0.58,0.53,0.45,0.56
e_1,0.84,1.0,0.99,1.12,0.97,0.86,0.75,0.75,0.63,0.9,0.65,0.69,0.62,0.61,0.57,0.58
d_1,1.14,1.02,1.0,0.93,0.89,0.78,0.69,0.55,0.82,0.61,0.72,0.6,0.56,0.56,0.58,0.46
c_1,1.04,0.89,1.06,1.0,1.32,0.87,0.73,0.68,0.61,0.48,0.55,0.67,0.56,0.62,0.58,0.58
b_1,1.12,1.04,1.13,0.79,1.0,1.23,0.77,0.72,0.75,0.63,0.65,0.68,0.54,0.6,0.6,0.57
a_1,1.35,1.15,1.26,1.13,0.81,1.0,0.89,0.78,0.77,0.77,0.86,0.73,0.75,0.74,0.8,0.72
h_1,1.61,1.37,1.44,1.35,1.27,1.14,1.0,1.03,0.84,0.87,0.83,0.9,0.87,0.9,0.75,0.91
g_1,1.45,1.41,1.8,1.44,1.32,1.24,0.99,1.0,1.04,0.92,0.92,1.05,0.84,0.81,0.92,0.95
c_0,1.66,1.57,1.26,1.6,1.33,1.24,1.21,0.97,1.0,1.24,1.33,0.96,1.04,0.92,0.95,0.92
d_0,1.41,1.12,1.69,2.11,1.6,1.35,1.14,1.11,0.79,1.0,0.87,0.98,0.89,0.93,0.95,0.9
b_0,1.6,1.54,1.37,1.87,1.55,1.19,1.23,1.12,0.75,1.1,1.0,0.92,1.28,1.0,0.98,0.91
f_0,1.8,1.48,1.69,1.5,1.46,1.34,1.15,0.93,0.98,1.04,1.06,1.0,0.92,0.96,1.2,0.76
a_0,1.7,1.65,1.74,1.78,1.78,1.26,1.15,1.18,0.94,1.12,0.77,1.09,1.0,1.11,0.97,0.96
h_0,1.92,1.64,1.74,1.63,1.64,1.33,1.16,1.23,1.09,1.06,0.97,1.01,0.89,1.0,0.89,1.05
e_0,2.27,1.87,1.81,1.62,1.6,1.16,1.31,1.04,1.13,1.06,1.07,0.87,1.05,1.16,1.0,0.9
g_0,1.77,1.68,2.13,1.76,1.78,1.41,1.09,1.03,1.14,1.05,1.05,1.27,1.05,0.97,1.09,1.0
