,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.8,1.28,0.94,1.03,1.08,1.04,1.04,1.29,1.22,1.1,1.07,0.91,1.06,0.93
d_1,1.19,1.0,0.93,0.96,1.1,1.0,0.97,0.73,1.35,1.17,0.98,0.88,1.07,0.89,1.0,0.78
f_1,1.26,1.07,1.0,0.89,0.96,0.91,0.92,1.1,0.92,1.05,0.71,0.95,0.79,1.02,0.77,1.11
c_1,0.78,1.04,1.12,1.0,1.44,0.83,0.89,1.23,0.8,0.71,1.05,0.71,1.08,1.0,0.99,1.0
b_1,1.06,0.91,1.04,0.69,1.0,1.44,1.11,0.98,0.94,0.97,1.0,0.93,1.17,1.11,1.21,1.05
a_1,0.97,1.0,1.1,1.2,0.69,1.0,1.01,1.19,0.99,1.16,1.06,1.5,1.04,1.06,0.97,1.14
h_1,0.89,1.06,1.11,1.08,0.9,0.94,1.0,1.08,0.9,0.85,0.97,1.09,0.89,0.88,0.86,1.17
g_1,0.94,1.38,0.92,0.8,0.98,0.85,0.91,1.0,0.92,1.04,1.15,1.03,0.66,0.91,0.96,1.13
c_0,0.95,0.73,1.11,1.4,1.14,1.03,1.13,1.06,1.0,1.17,0.92,1.36,0.87,1.24,1.11,1.17
d_0,0.76,0.91,1.01,1.38,1.02,0.79,1.14,0.93,0.81,1.0,1.0,1.1,0.96,0.95,0.93,1.07
f_0,0.82,1.02,1.38,0.94,1.05,1.0,1.1,0.84,1.04,0.97,1.0,1.06,1.15,1.0,1.55,0.96
b_0,0.9,1.13,1.1,1.43,0.88,0.66,0.94,0.9,0.69,0.87,0.91,1.0,1.25,1.49,0.88,0.84
h_0,0.9,0.95,1.26,0.98,0.83,1.0,1.15,1.49,1.11,1.07,0.92,0.83,1.0,0.99,0.85,1.23
a_0,1.11,1.04,1.01,1.0,0.93,,1.09,1.11,0.84,1.06,1.03,0.66,1.15,1.0,1.18,1.13
e_0,1.03,1.03,1.37,0.97,0.84,1.0,1.12,1.04,0.91,1.05,0.61,1.14,1.21,0.96,1.0,0.99
g_0,1.08,1.25,0.89,0.99,0.94,0.89,0.86,0.91,0.87,0.97,1.02,1.14,0.8,0.89,1.1,1.0
