,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.21,0.03,0.02,0.03,0.03,0.02,0.06,0.06,0.11,0.06,0.04,0.06,0.08,,0.06,0.06
d_1,0.03,2.25,0.03,0.02,0.03,0.02,0.05,0.06,,0.12,0.06,0.05,0.07,0.05,0.04,0.05
f_1,0.07,0.03,2.29,0.03,0.02,0.02,0.06,0.05,0.07,0.06,0.06,,0.06,0.03,0.05,0.07
c_1,0.03,0.03,0.03,2.42,0.04,0.02,0.05,0.06,0.09,,0.05,0.06,0.09,0.04,0.04,0.06
b_1,0.03,0.03,0.03,0.02,2.57,0.03,0.07,0.05,0.08,0.08,,0.06,0.08,0.03,,0.05
a_1,0.03,0.02,0.03,0.04,0.02,2.99,0.07,0.05,0.04,0.05,0.06,0.06,0.08,0.06,,0.08
h_1,0.1,0.1,0.17,0.09,0.12,0.07,2.74,0.27,0.23,0.24,0.15,0.13,,0.25,0.14,0.43
g_1,0.1,0.19,0.08,0.09,0.11,0.09,0.15,2.8,0.24,0.25,0.21,0.3,0.23,0.23,0.14,
d_0,0.19,,0.12,0.31,0.12,0.12,0.3,0.2,1.99,0.24,0.23,0.31,0.4,0.28,0.21,0.28
c_0,0.21,0.15,0.14,,0.1,0.09,0.23,0.27,0.22,2.13,0.44,0.39,0.52,0.2,0.2,0.27
b_0,0.11,0.17,0.2,0.14,,0.11,0.34,0.19,0.35,0.27,2.2,0.23,0.32,0.18,0.54,0.25
f_0,0.12,0.19,,0.11,0.15,0.09,0.32,0.11,0.4,0.24,0.29,2.29,0.5,0.34,0.26,0.34
h_0,0.12,0.17,0.33,0.16,0.18,0.18,,0.52,0.44,0.55,0.62,0.5,,0.38,0.28,0.68
e_0,,0.11,0.11,0.12,0.13,0.12,0.2,0.33,0.29,0.33,0.48,0.2,0.47,2.77,,0.47
a_0,0.13,0.16,0.17,0.12,,,0.23,0.21,0.37,0.31,0.35,0.35,0.34,,2.72,0.27
g_0,0.14,0.38,0.21,0.23,0.12,0.14,0.39,,0.39,0.36,0.35,0.63,0.85,0.42,0.34,
