,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.16,0.75,0.43,1.03,0.83,0.82,0.26,0.25,0.17,0.15,0.21,0.19,0.13,0.16,0.46,0.14
d_1,0.99,0.16,0.68,0.85,0.93,0.72,0.2,0.12,0.14,0.56,0.13,0.11,0.11,0.14,0.13,0.07
f_1,0.68,0.78,0.16,0.77,0.82,0.76,0.16,0.26,0.14,0.17,0.32,0.14,0.08,0.13,0.13,0.14
c_1,0.6,0.97,0.9,0.15,0.79,0.62,0.19,0.37,0.35,0.08,0.17,0.16,0.11,0.16,0.15,0.09
b_1,0.88,0.83,0.94,0.4,0.14,0.74,0.24,0.24,0.21,0.16,0.16,0.44,0.13,0.19,0.22,0.12
a_1,0.84,0.81,1.09,0.91,0.35,0.1,0.29,0.24,0.19,0.25,0.2,0.31,0.11,0.6,0.13,0.12
h_1,0.58,0.57,0.61,0.66,0.7,0.73,0.07,0.17,0.12,0.12,0.12,0.13,0.21,0.11,0.11,0.1
g_1,0.67,0.61,0.55,0.77,0.66,0.59,0.15,0.05,0.12,0.17,0.11,0.13,0.06,0.13,0.12,0.17
c_0,0.62,0.3,0.64,1.25,0.96,0.74,0.17,0.15,0.06,0.24,0.11,0.13,0.09,0.14,0.14,0.1
d_0,0.32,1.69,0.64,0.61,0.62,0.57,0.2,0.23,0.15,0.06,0.14,0.15,0.09,0.15,0.15,0.12
f_0,0.57,0.49,1.47,0.58,0.66,0.6,0.17,0.12,0.12,0.15,0.05,0.11,0.09,0.11,0.13,0.06
b_0,0.57,0.51,0.66,0.94,1.6,0.53,0.16,0.15,0.07,0.12,0.1,0.05,0.1,0.12,0.11,0.07
h_0,0.58,0.58,0.73,0.56,0.49,0.57,0.25,0.2,0.14,0.12,0.11,0.1,0.13,0.11,0.1,0.09
a_0,0.74,0.48,0.55,0.67,0.81,1.27,0.17,0.19,0.11,0.14,0.12,0.06,0.08,0.04,0.13,0.1
e_0,1.12,0.52,0.93,0.59,0.6,0.48,0.15,0.15,0.13,0.14,0.05,0.12,0.09,0.13,0.04,0.09
g_0,0.7,0.54,0.62,0.49,0.59,0.68,0.13,0.3,0.12,0.15,0.11,0.13,0.06,0.11,0.13,0.16
