,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.28,0.44,0.93,0.47,0.42,0.21,0.91,0.94,0.71,0.85,1.04,0.32,0.99,0.64,0.43,0.98
d_1,0.6,2.36,0.4,0.37,0.44,0.37,0.92,0.41,0.87,1.91,1.02,0.96,1.39,1.05,0.95,1.08
e_1,0.52,0.45,2.34,0.57,0.4,0.42,0.83,1.93,0.73,0.91,1.06,1.02,1.25,0.73,0.44,0.99
c_1,0.49,0.48,0.42,2.45,0.77,0.4,0.67,1.05,0.78,0.35,0.81,0.9,1.21,0.82,0.6,1.09
b_1,0.42,0.6,0.46,0.41,2.57,0.75,0.88,0.88,0.67,0.84,0.31,0.84,1.36,0.52,0.71,1.19
a_1,0.58,0.52,0.47,0.44,0.49,2.99,0.82,0.99,0.79,0.99,0.8,0.95,1.3,0.35,1.03,1.01
h_1,0.81,0.54,0.59,0.7,0.42,0.44,3.05,1.05,1.33,1.16,1.3,1.09,0.96,0.9,0.97,1.79
d_0,0.6,0.35,0.52,1.21,0.52,0.44,1.14,2.49,0.83,0.87,1.59,1.31,1.31,1.05,1.01,1.23
g_1,0.57,0.88,0.45,0.58,0.49,0.35,1.14,1.19,3.32,1.07,1.3,1.85,1.67,1.14,1.05,0.85
c_0,0.71,0.57,0.68,0.36,0.4,0.48,1.15,1.4,0.99,2.64,2.73,1.43,1.63,1.1,1.18,1.49
b_0,0.66,0.61,0.6,0.69,0.26,0.4,1.23,1.35,1.08,1.15,2.7,1.13,1.85,2.28,1.38,1.45
f_0,0.43,0.66,0.48,0.69,0.61,0.53,1.04,1.41,1.01,1.44,1.26,2.82,1.51,1.02,2.35,1.44
h_0,0.98,0.64,0.52,0.6,0.5,0.39,0.8,1.24,1.44,1.07,1.14,1.18,0.84,0.92,0.99,1.78
a_0,0.58,0.65,0.55,0.62,0.54,0.23,1.41,1.45,0.91,1.5,1.27,1.41,2.13,3.12,1.03,1.81
e_0,0.79,0.62,0.32,0.69,0.41,0.49,1.28,1.16,1.23,1.27,1.42,1.2,1.88,1.5,3.26,1.37
g_0,0.59,0.91,0.48,0.62,0.54,0.53,0.98,1.13,0.44,1.26,1.33,1.87,1.25,1.22,1.22,0.82
