,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,0.98,0.81,0.98,0.76,0.44,0.36,0.64,0.43,0.43,0.41,0.32,0.3,0.34,0.27
f_1,0.93,1.0,1.35,0.95,0.78,0.81,0.44,0.47,0.43,0.42,0.41,0.24,0.3,0.34,0.31,0.33
e_1,1.02,0.74,1.0,1.03,0.98,0.72,0.58,0.51,0.44,0.41,0.58,0.42,0.39,0.37,0.44,0.32
c_1,1.23,1.05,0.97,1.0,1.34,0.71,0.5,0.5,0.43,0.38,0.33,0.43,0.36,0.39,0.31,0.38
b_1,1.02,1.28,1.02,0.74,1.0,1.67,0.57,0.46,0.54,0.36,0.43,0.35,0.41,0.44,0.35,0.34
a_1,1.31,1.24,1.38,1.41,0.6,1.0,0.77,0.61,0.57,0.75,0.65,0.49,0.63,0.49,0.49,0.4
h_1,2.3,2.33,1.68,2.08,1.8,1.27,1.0,1.11,0.87,0.84,0.72,0.78,0.62,0.64,0.69,0.73
g_1,2.78,2.17,1.94,2.01,1.96,1.55,0.9,1.0,0.8,0.87,0.71,1.0,0.75,0.72,0.63,0.7
c_0,1.58,2.55,2.39,2.45,1.87,1.82,1.16,1.19,1.0,1.37,0.98,1.16,0.9,0.86,0.87,0.79
b_0,2.2,2.53,2.43,2.67,2.52,1.38,1.16,1.1,0.73,1.0,1.07,0.95,0.81,1.1,0.77,0.7
d_0,2.21,2.5,1.63,3.17,2.27,1.52,1.47,1.41,1.04,0.96,1.0,0.98,0.9,0.85,0.94,0.64
f_0,2.59,3.7,2.3,2.34,2.72,2.04,1.21,0.99,0.89,1.02,1.02,1.0,0.94,0.74,1.35,0.62
h_0,3.02,3.31,2.56,2.75,2.57,1.52,1.61,1.36,1.08,1.24,1.09,1.11,1.0,0.85,0.99,1.0
a_0,3.31,2.93,2.56,2.72,2.34,1.8,1.6,1.37,1.21,0.88,1.24,1.37,1.25,1.0,0.82,1.17
e_0,2.85,3.21,2.28,3.23,2.65,1.9,1.36,1.62,1.13,1.26,1.05,0.71,1.01,1.24,1.0,0.95
g_0,3.41,3.0,3.22,2.85,2.91,2.31,1.37,1.46,1.3,1.4,1.57,1.47,1.01,0.78,1.07,1.0
