,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.4,1.28,0.5,0.51,0.35,0.55,0.87,0.78,0.77,0.78,0.9,0.28,0.82,0.9,0.84,0.59
e_1,0.55,16.94,0.67,0.44,0.53,0.49,0.91,0.75,1.95,1.04,0.97,1.04,0.93,0.98,0.86,0.55
c_1,0.45,0.45,18.65,0.49,1.4,0.45,0.85,0.83,0.83,0.28,0.57,0.92,1.0,0.75,0.77,1.01
d_1,0.63,0.44,0.4,20.74,0.45,0.56,0.95,0.9,0.3,2.06,1.21,1.27,0.86,1.12,1.27,1.05
b_1,0.51,0.37,0.6,0.51,23.39,1.21,0.91,0.88,0.95,0.77,0.33,0.86,1.03,0.55,1.05,0.86
a_1,0.72,0.52,0.57,0.46,0.48,34.1,0.79,0.87,0.98,0.9,0.71,0.7,1.1,0.31,0.73,0.62
h_1,1.21,0.64,0.53,0.85,0.56,0.65,5.78,1.3,0.91,1.05,1.29,0.84,0.64,1.14,1.68,0.95
g_1,0.52,0.55,0.62,1.5,0.56,0.61,0.96,6.65,0.96,1.1,1.41,1.96,1.3,1.27,0.64,1.55
d_0,0.63,0.53,1.98,0.34,0.66,0.43,1.2,1.09,3.28,0.82,1.28,1.44,1.49,1.51,1.15,1.61
c_0,0.82,0.61,0.4,0.93,0.38,0.75,0.88,1.22,1.39,3.3,3.62,1.49,1.46,1.63,1.65,1.57
b_0,0.74,0.64,0.59,1.05,0.22,0.64,1.13,1.46,0.98,1.2,4.19,1.35,1.46,3.23,1.26,1.64
f_0,0.35,0.47,0.73,1.03,0.54,0.47,1.22,1.36,1.36,1.48,1.48,5.11,1.73,1.72,1.64,3.78
h_0,0.99,0.59,0.76,0.91,0.66,0.55,0.53,1.8,1.09,1.13,1.43,1.06,0.6,1.26,1.55,1.26
a_0,0.67,0.72,0.83,0.87,0.55,0.3,1.25,1.39,0.99,0.93,1.62,1.54,1.25,5.26,1.22,1.58
g_0,0.62,0.49,0.6,1.56,0.54,0.49,1.09,0.71,0.86,1.02,1.67,2.3,1.28,1.41,0.61,1.48
e_0,0.74,0.23,0.9,0.78,1.05,0.74,0.91,0.93,1.19,1.21,1.65,1.65,1.75,0.97,1.41,6.75
