,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.92,0.85,1.6,1.44,2.61,16.16,24.57,27.4,43.25,46.27,46.52,77.24,81.2,83.24,101.38
d_1,1.05,1.0,1.06,1.2,1.34,2.52,15.92,20.12,35.29,27.97,40.47,44.79,72.12,79.7,84.16,81.5
f_1,1.18,0.93,1.0,1.15,1.24,2.37,13.11,25.14,25.67,28.7,36.89,41.71,58.95,58.18,76.72,99.54
c_1,0.62,0.86,0.85,1.0,1.43,2.26,12.19,20.23,22.06,17.19,30.34,29.27,59.78,62.06,52.15,73.45
b_1,0.71,0.75,0.82,0.7,1.0,2.65,12.08,18.84,20.53,21.09,26.81,31.44,55.98,61.32,50.87,71.33
a_1,0.39,0.4,0.42,0.45,0.37,1.0,6.27,9.8,11.07,12.17,15.25,21.66,26.42,31.65,32.94,34.6
h_1,0.06,0.07,0.08,0.08,0.08,0.15,1.0,1.65,1.7,1.86,2.51,3.02,4.77,4.49,4.46,7.12
g_1,0.04,0.05,0.04,0.05,0.05,0.11,0.6,1.0,1.18,1.2,1.81,1.94,2.54,3.26,3.05,4.3
c_0,0.04,0.03,0.04,0.05,0.05,0.09,0.58,0.82,1.0,1.34,1.47,2.13,2.84,2.78,3.32,3.43
d_0,0.02,0.03,0.03,0.06,0.05,0.08,0.54,0.82,0.73,1.0,1.29,1.53,2.54,2.55,2.46,3.64
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.4,0.55,0.69,0.76,1.0,1.14,1.94,2.62,1.78,2.14
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.33,0.5,0.47,0.66,0.88,1.0,1.7,1.72,2.37,2.13
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.21,0.39,0.36,0.42,0.51,0.59,1.0,0.99,1.06,1.57
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.22,0.31,0.37,0.37,0.39,0.61,1.02,1.0,0.97,1.24
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.31,0.32,0.39,0.52,0.44,1.04,1.12,1.01,1.4
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.29,0.29,0.47,0.46,0.66,0.84,0.7,1.0
