,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.66,0.36,0.35,0.29,0.2,0.36,0.41,0.23,0.3,0.31,0.21,0.38,0.23,0.16,0.29
e_1,0.45,0.92,0.48,0.28,0.37,0.23,0.34,0.63,0.27,0.31,0.27,0.27,0.33,0.21,0.18,0.3
c_1,0.41,0.36,0.92,0.34,0.59,0.26,0.35,0.36,0.27,0.2,0.18,0.27,0.34,0.24,0.23,0.27
d_1,0.48,0.39,0.33,0.92,0.29,0.21,0.35,0.3,0.32,0.62,0.39,0.27,0.41,0.27,0.25,0.3
b_1,0.43,0.39,0.39,0.33,0.91,0.44,0.34,0.37,0.26,0.28,0.19,0.31,0.37,0.2,0.23,0.27
a_1,0.42,0.41,0.42,0.44,0.3,0.89,0.38,0.4,0.34,0.34,0.31,0.31,0.44,0.16,0.23,0.3
h_1,0.61,0.45,0.41,0.46,0.31,0.19,0.64,0.37,0.36,0.34,0.31,0.31,0.37,0.25,0.24,0.4
d_0,0.46,0.43,0.65,0.29,0.4,0.25,0.36,0.57,0.3,0.25,0.32,0.27,0.34,0.26,0.24,0.31
g_1,0.41,0.38,0.45,0.57,0.34,0.19,0.32,0.38,0.63,0.39,0.34,0.47,0.35,0.23,0.31,0.26
c_0,0.49,0.45,0.38,0.45,0.28,0.24,0.37,0.45,0.34,0.56,0.58,0.3,0.48,0.36,0.28,0.37
b_0,0.49,0.47,0.46,0.45,0.26,0.16,0.39,0.46,0.37,0.4,0.59,0.36,0.45,0.53,0.25,0.35
f_0,0.4,0.39,0.45,0.48,0.38,0.22,0.37,0.44,0.32,0.37,0.34,0.54,0.48,0.27,0.5,0.35
h_0,0.57,0.45,0.39,0.44,0.36,0.22,0.32,0.36,0.37,0.35,0.3,0.34,0.31,0.27,0.25,0.41
a_0,0.47,0.47,0.48,0.46,0.33,0.18,0.42,0.42,0.33,0.34,0.37,0.34,0.42,0.48,0.32,0.29
e_0,0.47,0.3,0.44,0.47,0.36,0.25,0.43,0.41,0.33,0.39,0.4,0.35,0.48,0.31,0.49,0.4
g_0,0.47,0.39,0.41,0.6,0.36,0.25,0.34,0.34,0.24,0.35,0.3,0.44,0.45,0.29,0.27,0.3
