,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.78,1.02,1.15,1.04,0.97,1.15,1.07,1.35,0.86,1.03,1.11,1.04,1.03,0.98,1.31
f_1,1.27,1.0,0.9,1.02,0.89,0.9,0.88,1.01,1.0,1.05,1.01,0.93,0.75,0.98,0.91,0.88
d_1,0.99,1.11,1.0,0.83,1.02,1.02,0.99,0.86,1.16,1.26,1.07,0.98,1.11,0.78,1.0,0.98
c_1,0.87,0.99,1.21,1.0,1.32,0.91,0.99,0.94,0.7,0.87,0.75,0.9,1.03,1.04,0.98,0.87
b_1,0.96,1.13,0.99,0.77,1.0,1.3,0.94,1.05,0.99,1.27,1.01,1.03,1.13,1.05,0.99,1.08
a_1,1.03,1.11,0.97,1.08,0.75,1.0,1.18,1.23,1.04,0.81,1.08,0.96,1.06,1.06,0.99,0.97
h_1,0.91,1.15,0.98,1.04,1.01,0.84,1.0,1.14,0.92,0.9,0.97,1.14,0.99,1.19,0.99,0.95
g_1,0.94,0.96,1.17,1.02,0.96,0.85,0.89,1.0,0.84,0.99,0.99,1.27,0.87,1.07,1.15,1.04
d_0,0.74,1.0,0.99,1.45,1.0,0.97,1.08,1.15,1.0,0.82,1.03,1.13,1.07,1.07,0.98,1.09
c_0,1.12,0.99,0.77,1.11,0.82,1.12,1.16,1.0,1.2,1.0,1.71,1.01,1.05,1.23,1.05,0.94
b_0,0.95,1.03,0.95,1.27,1.05,0.92,1.04,1.01,0.96,0.67,1.0,0.95,1.08,1.12,1.4,0.97
f_0,0.82,1.11,0.98,1.16,1.0,1.06,0.87,0.81,0.97,0.98,1.09,1.0,1.22,0.97,1.14,1.41
h_0,0.96,1.35,0.93,0.98,0.86,0.89,1.06,1.2,0.93,0.99,0.92,0.85,1.0,1.16,0.93,0.92
g_0,0.94,1.0,1.32,0.99,0.94,0.92,0.83,0.95,0.92,0.81,0.89,1.07,0.89,0.99,0.9,0.82
a_0,1.03,1.12,0.93,1.03,1.09,1.02,0.99,0.88,1.01,0.97,0.72,0.9,1.11,1.13,1.0,0.91
e_0,0.76,1.19,1.01,1.13,0.96,0.93,1.08,0.97,1.02,0.99,1.04,0.74,1.02,1.16,1.12,1.0
