,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.65,1.18,1.16,1.02,1.01,0.9,0.46,0.35,0.5,0.41,0.39,0.37,0.3,0.38,0.23,0.34
f_1,1.01,0.65,1.2,1.12,1.0,0.94,0.37,0.48,0.41,0.36,0.35,0.41,0.25,0.33,0.34,0.3
e_1,1.17,0.75,0.65,1.18,1.08,1.05,0.52,0.53,0.49,0.43,0.44,0.45,0.32,0.39,0.33,0.44
c_1,1.45,1.13,1.01,0.62,1.26,0.96,0.49,0.53,0.27,0.44,0.36,0.44,0.36,0.35,0.32,0.37
b_1,1.23,1.37,1.13,0.77,0.62,1.33,0.54,0.52,0.45,0.51,0.59,0.44,0.38,0.43,0.38,0.42
a_1,1.31,1.63,1.31,1.53,0.8,0.57,0.75,0.72,0.58,0.54,0.58,0.46,0.5,0.76,0.44,0.49
h_1,1.69,1.99,1.7,1.74,1.78,1.38,0.56,0.86,0.6,0.56,0.57,0.57,0.69,0.56,0.58,0.56
g_1,2.0,1.88,1.79,1.75,1.96,1.54,0.64,0.54,0.71,0.7,0.7,0.73,0.44,0.6,0.55,0.64
d_0,2.2,1.88,1.25,2.45,1.86,1.64,0.94,0.86,0.58,0.68,0.74,0.61,0.61,0.56,0.55,0.69
c_0,1.26,2.17,1.91,3.01,1.85,1.73,0.97,0.85,0.95,0.58,0.89,0.67,0.64,0.64,0.52,0.7
b_0,1.73,2.1,1.84,2.61,2.09,1.59,1.0,0.83,0.72,0.44,0.56,0.69,0.54,0.69,0.57,0.56
f_0,1.94,2.6,2.03,1.9,1.94,2.01,1.0,0.66,0.81,0.78,0.81,0.54,0.61,0.73,0.43,0.93
h_0,2.18,2.42,2.27,2.06,2.19,1.81,1.15,1.05,0.84,0.73,0.77,0.8,0.71,0.69,0.69,0.63
a_0,2.19,2.58,2.44,2.32,2.31,2.09,1.1,1.15,0.95,0.78,0.62,0.7,0.67,0.54,0.64,0.62
g_0,2.51,2.4,2.42,2.43,2.18,1.93,0.92,1.38,0.89,0.92,0.9,0.97,0.59,0.81,0.74,0.87
e_0,2.25,3.37,2.86,2.42,2.48,1.94,1.05,0.86,0.8,0.7,1.01,0.49,0.78,0.8,0.61,0.54
