,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.68,0.39,0.34,0.36,0.23,0.24,0.24,0.23,0.25,0.22,0.16,0.22,0.19,0.19,0.11
e_1,0.41,0.94,0.42,0.48,0.38,0.3,0.29,0.23,0.28,0.44,0.23,0.25,0.25,0.19,0.23,0.13
d_1,0.54,0.41,0.94,0.34,0.35,0.28,0.28,0.27,0.44,0.19,0.28,0.23,0.24,0.18,0.2,0.18
c_1,0.49,0.38,0.49,0.94,0.59,0.24,0.26,0.21,0.13,0.21,0.19,0.24,0.18,0.15,0.21,0.16
b_1,0.43,0.46,0.47,0.37,0.94,0.47,0.34,0.25,0.3,0.25,0.18,0.22,0.27,0.14,0.21,0.18
a_1,0.63,0.46,0.52,0.49,0.35,0.93,0.34,0.29,0.26,0.32,0.35,0.29,0.32,0.16,0.23,0.24
h_1,0.92,0.57,0.77,0.63,0.5,0.4,0.74,0.49,0.45,0.4,0.4,0.32,0.29,0.27,0.44,0.29
g_1,0.59,0.68,1.02,0.7,0.59,0.41,0.41,0.75,0.44,0.34,0.41,0.53,0.34,0.28,0.27,0.29
c_0,0.81,0.7,0.66,0.51,0.53,0.58,0.49,0.46,0.65,0.48,0.7,0.49,0.41,0.36,0.38,0.33
d_0,0.71,0.63,0.49,1.24,0.68,0.44,0.46,0.48,0.35,0.62,0.41,0.4,0.36,0.31,0.34,0.32
b_0,0.85,0.69,0.71,0.82,0.48,0.46,0.5,0.5,0.42,0.46,0.66,0.43,0.43,0.58,0.4,0.38
f_0,0.54,0.62,0.78,0.73,0.67,0.61,0.6,0.41,0.47,0.49,0.48,0.64,0.43,0.35,0.36,0.59
h_0,1.08,0.74,0.84,0.77,0.66,0.51,0.44,0.58,0.51,0.5,0.45,0.48,0.33,0.4,0.5,0.25
a_0,0.79,0.79,1.0,0.8,0.76,0.37,0.64,0.57,0.48,0.47,0.44,0.48,0.49,0.63,0.44,0.32
g_0,0.8,0.76,1.16,0.78,0.68,0.59,0.55,0.44,0.52,0.5,0.46,0.61,0.41,0.37,0.32,0.44
e_0,1.0,0.55,0.91,0.93,0.76,0.57,0.6,0.53,0.51,0.49,0.46,0.41,0.59,0.41,0.36,0.62
