,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.92,1.17,1.86,2.0,3.54,20.71,27.47,37.72,49.85,52.11,51.58,81.01,91.17,94.98,136.97
f_1,1.09,1.0,0.96,1.48,1.46,2.96,13.57,21.07,25.45,30.38,37.39,39.53,64.34,59.57,66.31,109.27
d_1,0.86,1.04,1.0,1.16,1.58,3.18,17.2,18.49,35.04,31.39,39.24,45.85,66.46,68.41,93.74,90.96
c_1,0.54,0.68,0.85,1.0,1.58,2.27,12.16,15.02,16.3,16.89,29.53,23.57,49.3,56.35,63.76,78.21
b_1,0.49,0.69,0.65,0.64,1.0,2.82,10.46,13.94,19.74,18.17,28.06,24.28,38.71,49.74,47.38,69.08
a_1,0.28,0.34,0.32,0.44,0.34,1.0,5.66,8.01,9.64,12.96,14.18,15.71,24.74,26.64,34.24,39.62
h_1,0.05,0.07,0.06,0.08,0.09,0.18,1.0,1.65,1.65,1.96,2.35,2.58,3.8,4.75,5.13,7.67
g_1,0.04,0.05,0.05,0.07,0.07,0.12,0.61,1.0,1.34,1.33,2.3,1.87,2.89,3.17,3.95,5.25
c_0,0.03,0.04,0.03,0.06,0.05,0.1,0.59,0.73,1.0,1.26,1.4,2.02,2.73,2.85,3.45,4.0
d_0,0.02,0.03,0.03,0.06,0.06,0.08,0.5,0.73,0.79,1.0,1.17,1.23,2.3,2.68,2.99,3.27
f_0,0.02,0.03,0.02,0.03,0.04,0.07,0.42,0.43,0.73,0.81,1.0,0.99,1.68,1.82,2.86,2.25
b_0,0.02,0.03,0.02,0.04,0.04,0.07,0.37,0.54,0.5,0.79,1.02,1.0,2.26,1.97,1.95,2.79
a_0,0.01,0.02,0.01,0.02,0.03,0.04,0.27,0.35,0.38,0.44,0.62,0.42,1.0,1.16,1.04,1.52
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.21,0.32,0.36,0.37,0.53,0.51,0.89,1.0,1.04,1.76
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.25,0.31,0.34,0.36,0.5,0.88,0.89,1.0,1.24
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.18,0.24,0.28,0.46,0.37,0.66,0.57,0.77,1.0
